Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
3336,G?bM^{,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 3, 1, 1, 4, 5, 5, 7)",3.6875,1.9203,False
3361,G?bN]{,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 3, 1, 1, 4, 5, 6, 6)",3.4375,1.854,False
4747,G?rM\{,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 3, 1, 1, 5, 5, 5, 6)",3.1875,1.7854,False
4960,G?qm]{,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 3, 1, 1, 5, 5, 5, 6)",3.1875,1.7854,False
6770,GCRUnk,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 4, 1, 4, 1, 5, 5, 6)",2.9375,1.7139,False
7066,GCQtnk,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 2, 3, 4, 1, 5, 5, 6)",2.4375,1.5612,False
8141,GCrM\[,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(5, 3, 1, 1, 5, 5, 5, 5)",2.9375,1.7139,False
8895,GCZUmk,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 4, 1, 4, 2, 5, 5, 5)",1.9375,1.3919,False
9186,GCZM][,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 4, 1, 1, 5, 5, 5, 5)",2.6875,1.6394,False
9427,GCXj][,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(2, 4, 3, 1, 5, 5, 5, 5)",2.1875,1.479,False
9573,GCY[{{,8,15,"(1, 15, 92, 298, 549, 575, 318, 72, 0)",540,3,13,12,6,1,"(4, 1, 1, 4, 5, 5, 5, 5)",2.6875,1.6394,False
3548,G?rE^{,8,15,"(1, 15, 93, 306, 573, 609, 341, 78, 0)",576,3,12,15,6,1,"(4, 4, 1, 1, 4, 4, 5, 7)",3.4375,1.854,False
3561,G?rF]{,8,15,"(1, 15, 93, 306, 573, 609, 341, 78, 0)",576,3,12,15,6,1,"(4, 4, 1, 1, 4, 4, 6, 6)",3.1875,1.7854,False
4743,G?rNU{,8,15,"(1, 15, 93, 306, 573, 609, 341, 78, 0)",576,3,12,15,6,1,"(4, 4, 1, 1, 5, 4, 5, 6)",2.9375,1.7139,False
4746,G?rM^w,8,15,"(1, 15, 93, 306, 573, 609, 341, 78, 0)",576,3,12,15,6,1,"(4, 4, 1, 1, 5, 5, 4, 6)",2.9375,1.7139,False
5185,G?rmu[,8,15,"(1, 15, 93, 306, 573, 609, 341, 78, 0)",576,3,12,15,6,1,"(4, 4, 1, 1, 5, 5, 5, 5)",2.6875,1.6394,False
7823,GCre][,8,15,"(1, 15, 93, 306, 573, 609, 341, 78, 0)",576,3,12,15,6,1,"(5, 4, 1, 1, 4, 5, 5, 5)",2.6875,1.6394,False
8555,GCXb^[,8,15,"(1, 15, 93, 306, 573, 609, 341, 78, 0)",576,3,12,15,6,1,"(2, 4, 4, 1, 4, 4, 5, 6)",2.1875,1.479,False
9425,GCXj^W,8,15,"(1, 15, 93, 306, 573, 609, 341, 78, 0)",576,3,12,15,6,1,"(2, 4, 4, 1, 5, 5, 4, 5)",1.9375,1.3919,False
2699,G?aN^{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",700,2,12,12,7,2,"(4, 2, 2, 1, 4, 4, 6, 7)",3.6875,1.9203,False
3343,G?bL^{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",715,2,12,11,8,4,"(4, 2, 2, 1, 4, 5, 5, 7)",3.4375,1.854,False
3362,G?bN\{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",715,2,12,11,8,4,"(4, 2, 2, 1, 4, 5, 6, 6)",3.1875,1.7854,False
3365,G?bL|{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",700,2,12,12,7,2,"(4, 1, 2, 2, 4, 5, 6, 6)",3.1875,1.7854,False
4961,G?qm\{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",720,2,12,11,7,3,"(4, 2, 2, 1, 5, 5, 5, 6)",2.9375,1.7139,False
4975,G?qk~[,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",715,2,12,11,8,4,"(4, 2, 2, 1, 5, 5, 5, 6)",2.9375,1.7139,False
6300,GCQUn{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",775,2,12,9,7,4,"(4, 3, 1, 4, 2, 4, 5, 7)",2.9375,1.7139,False
6312,GCQTn{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",900,2,12,8,4,1,"(4, 2, 2, 4, 2, 4, 5, 7)",2.6875,1.6394,False
6327,GCQVnk,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",700,2,12,12,7,2,"(4, 3, 2, 4, 1, 4, 6, 6)",2.6875,1.6394,False
6328,GCQVm{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",775,2,12,9,7,4,"(4, 3, 1, 4, 2, 4, 6, 6)",2.6875,1.6394,False
7055,GCQunk,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",715,2,12,11,8,4,"(4, 3, 2, 4, 1, 5, 5, 6)",2.4375,1.5612,False
7057,GCQum{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",775,2,12,9,7,4,"(4, 3, 1, 4, 2, 5, 5, 6)",2.4375,1.5612,False
7068,GCQtm{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",900,2,12,8,4,1,"(4, 2, 2, 4, 2, 5, 5, 6)",2.1875,1.479,False
8151,GCrL\[,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",720,2,12,11,7,3,"(5, 2, 2, 1, 5, 5, 5, 5)",2.6875,1.6394,False
9413,GCXm][,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",720,2,12,11,7,3,"(3, 4, 2, 1, 5, 5, 5, 5)",2.1875,1.479,False
9848,GCdcv{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",1000,2,12,6,1,0,"(4, 2, 2, 4, 4, 3, 4, 7)",2.1875,1.479,False
9893,GCdeu{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",775,2,12,9,7,4,"(4, 3, 1, 4, 4, 3, 5, 6)",1.9375,1.3919,False
9942,GCdc}{,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",775,2,12,9,7,4,"(4, 2, 1, 4, 4, 4, 5, 6)",2.1875,1.479,False
11491,GQhTVs,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",1000,2,12,6,1,0,"(4, 3, 4, 3, 4, 2, 4, 6)",1.1875,1.0897,False
11510,GQhVVS,8,15,"(1, 15, 93, 309, 594, 660, 392, 96, 0)",900,2,12,8,4,1,"(4, 4, 4, 2, 4, 2, 5, 5)",1.1875,1.0897,False
1481,G?Bfn{,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",756,2,11,16,6,4,"(3, 3, 3, 2, 1, 5, 6, 7)",3.6875,1.9203,False
1516,G?Bvn[,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",756,2,11,16,6,4,"(3, 3, 3, 2, 1, 6, 6, 6)",3.4375,1.854,False
2077,G?bF^{,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",784,2,11,14,9,3,"(4, 3, 2, 1, 3, 4, 6, 7)",3.4375,1.854,False
2610,G?`f^{,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",840,2,11,12,8,4,"(3, 3, 3, 1, 3, 4, 6, 7)",3.1875,1.7854,False
2894,G?bfN{,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",792,2,11,14,8,3,"(4, 3, 3, 1, 2, 5, 5, 7)",3.1875,1.7854,False
2926,G?be^{,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",799,2,11,13,10,4,"(4, 3, 2, 1, 3, 5, 5, 7)",3.1875,1.7854,False
2969,G?bfnk,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",756,2,11,16,6,4,"(4, 3, 3, 2, 1, 5, 6, 6)",2.9375,1.7139,False
2970,G?bfn[,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",792,2,11,14,8,3,"(4, 3, 3, 1, 2, 5, 6, 6)",2.9375,1.7139,False
2982,G?be~[,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",799,2,11,13,10,4,"(4, 3, 2, 1, 3, 5, 6, 6)",2.9375,1.7139,False
2983,G?be}{,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",784,2,11,14,9,3,"(4, 3, 1, 2, 3, 5, 6, 6)",2.9375,1.7139,False
3150,G?`rn{,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",972,2,11,12,3,1,"(2, 3, 3, 3, 2, 5, 5, 7)",2.6875,1.6394,False
3173,G?`vnk,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",756,2,11,16,6,4,"(3, 3, 3, 3, 1, 5, 6, 6)",2.6875,1.6394,False
3180,G?`v^[,8,15,"(1, 15, 94, 318, 625, 711, 432, 108, 0)",840,2,11,12,8,4,"(3, 3, 3, 1, 3, 5, 6, 6)",2.6875,1.6394,False
