Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
979,FTm~w,7,16,"(1, 16, 100, 310, 499, 394, 120, 0, 0)",1296,2,20,15,6,1,"(5, 1, 5, 5, 5, 5, 6)",2.2449,1.4983,False
831,FEv~w,7,16,"(1, 16, 103, 340, 604, 544, 192, 0, 0)",2016,1,17,19,11,5,"(4, 4, 2, 5, 5, 6, 6)",1.6735,1.2936,False
977,FTnvw,7,16,"(1, 16, 103, 340, 604, 544, 192, 0, 0)",2052,1,17,18,12,5,"(5, 2, 5, 5, 4, 5, 6)",1.3878,1.178,False
728,FC~~w,7,16,"(1, 16, 104, 350, 639, 594, 216, 0, 0)",2205,1,16,22,12,4,"(4, 3, 3, 4, 6, 6, 6)",1.6735,1.2936,False
850,FEn~w,7,16,"(1, 16, 104, 350, 639, 594, 216, 0, 0)",2261,1,16,20,15,7,"(4, 3, 3, 5, 5, 6, 6)",1.3878,1.178,False
939,FQz~w,7,16,"(1, 16, 104, 350, 639, 594, 216, 0, 0)",2345,1,16,18,16,7,"(4, 4, 4, 3, 5, 6, 6)",1.102,1.0498,False
973,FTznw,7,16,"(1, 16, 104, 350, 639, 594, 216, 0, 0)",2304,1,16,19,15,7,"(5, 3, 5, 3, 5, 5, 6)",1.102,1.0498,False
984,F]znW,7,16,"(1, 16, 104, 350, 639, 594, 216, 0, 0)",2160,1,16,19,12,5,"(5, 5, 5, 2, 5, 5, 5)",1.102,1.0498,False
819,FEz~w,7,16,"(1, 16, 105, 359, 668, 633, 234, 0, 0)",2408,1,15,23,15,7,"(4, 4, 3, 4, 5, 6, 6)",1.102,1.0498,False
963,FUz^w,7,16,"(1, 16, 105, 359, 668, 633, 234, 0, 0)",2465,1,15,21,18,7,"(5, 4, 3, 4, 5, 5, 6)",0.8163,0.9035,False
951,FUZ~w,7,16,"(1, 16, 105, 360, 674, 644, 240, 0, 0)",2527,1,15,20,21,7,"(4, 4, 4, 4, 4, 6, 6)",0.8163,0.9035,False
972,FTzvw,7,16,"(1, 16, 105, 360, 674, 644, 240, 0, 0)",2472,1,15,20,18,7,"(5, 3, 5, 4, 4, 5, 6)",0.8163,0.9035,False
855,FE~vw,7,16,"(1, 16, 106, 368, 697, 672, 252, 0, 0)",2520,1,14,25,15,7,"(4, 4, 3, 5, 5, 5, 6)",0.8163,0.9035,False
942,FQ~vw,7,16,"(1, 16, 106, 368, 697, 672, 252, 0, 0)",2625,1,14,22,18,7,"(4, 4, 4, 4, 5, 5, 6)",0.5306,0.7284,False
983,F]zno,7,16,"(1, 16, 106, 368, 697, 672, 252, 0, 0)",2580,1,14,23,18,7,"(5, 5, 5, 3, 5, 4, 5)",0.5306,0.7284,False
960,FUzvw,7,16,"(1, 16, 106, 369, 703, 683, 258, 0, 0)",2640,1,14,22,21,7,"(5, 4, 4, 4, 4, 5, 6)",0.5306,0.7284,False
985,F]zlw,7,16,"(1, 16, 106, 370, 709, 694, 264, 0, 0)",2592,1,14,21,18,7,"(5, 4, 5, 3, 5, 5, 5)",0.5306,0.7284,False
966,FU~vW,7,16,"(1, 16, 107, 377, 726, 711, 270, 0, 0)",2755,1,13,25,21,7,"(5, 4, 4, 4, 5, 5, 5)",0.2449,0.4949,False
864,FFzvw,7,16,"(1, 16, 107, 378, 732, 722, 276, 0, 0)",2688,1,13,27,15,7,"(4, 4, 4, 5, 4, 5, 6)",0.5306,0.7284,False
965,FU~vo,7,16,"(1, 16, 107, 378, 732, 722, 276, 0, 0)",2760,1,13,24,21,7,"(5, 4, 4, 5, 5, 4, 5)",0.2449,0.4949,False
865,FFz~o,7,16,"(1, 16, 108, 385, 750, 742, 284, 0, 0)",2800,1,12,31,15,7,"(4, 4, 4, 5, 5, 5, 5)",0.2449,0.4949,True
