Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
1087,G?AEN{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 1, 1, 1, 3, 4, 7)",3.6875,1.9203,False
1118,G?AFM{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 1, 1, 1, 3, 5, 6)",3.1875,1.7854,False
1247,G?BEL{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 1, 1, 1, 4, 4, 6)",2.9375,1.7139,False
1261,G?BDM{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 1, 1, 1, 4, 4, 6)",2.9375,1.7139,False
1324,G?BDm[,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 1, 1, 1, 4, 5, 5)",2.6875,1.6394,False
1325,G?BDl[,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 1, 2, 1, 1, 4, 5, 5)",2.6875,1.6394,False
1569,G?`CV{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 2, 1, 1, 3, 2, 3, 7)",3.1875,1.7854,False
1643,G?`EVs,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 3, 1, 1, 3, 1, 4, 6)",2.6875,1.6394,False
1660,G?`DVs,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 2, 1, 3, 1, 4, 6)",2.4375,1.5612,False
1662,G?`DU{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 2, 1, 1, 3, 2, 4, 6)",2.4375,1.5612,False
1693,G?`FUs,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 3, 1, 1, 3, 1, 5, 5)",2.4375,1.5612,False
1709,G?`DvS,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 2, 1, 3, 1, 5, 5)",2.1875,1.479,False
1712,G?`Du[,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 2, 1, 1, 3, 2, 5, 5)",2.1875,1.479,False
1916,G?bELk,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(4, 2, 1, 1, 1, 4, 4, 5)",2.4375,1.5612,False
1917,G?bEJk,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 3, 1, 1, 1, 4, 4, 5)",2.1875,1.479,False
1932,G?bDMk,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(4, 2, 1, 1, 1, 4, 4, 5)",2.4375,1.5612,False
2261,G?`eUs,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 3, 1, 1, 3, 2, 4, 5)",1.6875,1.299,False
2292,G?`cus,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 1, 2, 3, 2, 4, 5)",1.4375,1.199,False
2296,G?`cu[,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 2, 1, 1, 3, 3, 4, 5)",1.6875,1.299,False
2297,G?`cs{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 1, 1, 2, 3, 3, 4, 5)",1.6875,1.299,False
2324,G?`eMk,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 3, 1, 1, 1, 4, 4, 5)",2.1875,1.479,False
2326,G?`eJk,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(2, 3, 2, 1, 1, 4, 4, 5)",1.9375,1.3919,False
2345,G?`bMk,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(2, 3, 2, 1, 1, 4, 4, 5)",1.9375,1.3919,False
2414,G?`anK,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(2, 3, 2, 1, 1, 4, 4, 5)",1.9375,1.3919,False
2416,G?`am[,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(2, 3, 1, 1, 2, 4, 4, 5)",1.9375,1.3919,False
2435,G?`c[{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 1, 1, 1, 3, 4, 4, 5)",2.1875,1.479,False
2635,G?aJE{,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 2, 1, 1, 3, 3, 3, 6)",2.1875,1.479,False
2648,G?aJe[,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 2, 1, 1, 3, 3, 4, 5)",1.6875,1.299,False
2653,G?aK^o,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(4, 1, 1, 1, 4, 3, 3, 5)",2.1875,1.479,False
3058,G?`uUS,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 3, 1, 1, 3, 3, 4, 4)",1.1875,1.0897,False
3223,G?bLeW,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(4, 2, 1, 1, 3, 4, 3, 4)",1.4375,1.199,False
3235,G?bLc[,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(4, 1, 1, 1, 3, 4, 4, 4)",1.9375,1.3919,False
4015,G?ouTS,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 2, 2, 1, 4, 2, 4, 4)",1.1875,1.0897,False
4043,G?otTS,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 1, 3, 1, 4, 2, 4, 4)",1.4375,1.199,False
5586,GCOcfs,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 2, 2, 3, 2, 1, 3, 6)",1.9375,1.3919,False
5628,GCOefc,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(3, 3, 2, 3, 1, 1, 4, 5)",1.6875,1.299,False
5632,GCOedk,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 2, 2, 3, 1, 2, 4, 5)",1.4375,1.199,False
5753,GCQeec,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(4, 3, 1, 3, 1, 2, 4, 4)",1.4375,1.199,False
5853,GCQeUS,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(4, 3, 1, 1, 3, 2, 4, 4)",1.4375,1.199,False
5905,GCQbRS,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(2, 3, 3, 1, 3, 2, 4, 4)",0.9375,0.9682,False
5945,GCQeMK,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",40,4,5,3,1,0,"(4, 3, 1, 1, 1, 4, 4, 4)",1.9375,1.3919,False
6143,GCQREw,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 3, 1, 3, 2, 3, 2, 5)",1.1875,1.0897,False
6147,GCQREk,8,11,"(1, 11, 50, 122, 173, 143, 64, 12, 0)",48,4,5,1,0,0,"(3, 3, 1, 3, 1, 3, 3, 5)",1.4375,1.199,False
