Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
130,ETnw,6,11,"(1, 11, 45, 85, 74, 24, 0, 0, 0)",125,2,10,5,1,0,"(4, 1, 4, 4, 4, 5)",1.5556,1.2472,False
98,EE~w,6,11,"(1, 11, 47, 97, 96, 36, 0, 0, 0)",180,1,8,8,3,1,"(3, 3, 2, 4, 5, 5)",1.2222,1.1055,False
116,EQ~w,6,11,"(1, 11, 47, 97, 96, 36, 0, 0, 0)",192,1,8,6,4,1,"(3, 3, 3, 3, 5, 5)",0.8889,0.9428,False
128,ETzw,6,11,"(1, 11, 47, 97, 96, 36, 0, 0, 0)",185,1,8,7,4,1,"(4, 2, 4, 3, 4, 5)",0.8889,0.9428,False
124,EUzw,6,11,"(1, 11, 48, 103, 107, 42, 0, 0, 0)",209,1,7,8,6,1,"(4, 3, 3, 3, 4, 5)",0.5556,0.7454,False
134,E]zg,6,11,"(1, 11, 48, 103, 107, 42, 0, 0, 0)",200,1,7,8,4,1,"(4, 4, 4, 2, 4, 4)",0.5556,0.7454,False
102,EFzw,6,11,"(1, 11, 49, 108, 115, 46, 0, 0, 0)",216,1,6,12,3,1,"(3, 3, 3, 4, 4, 5)",0.5556,0.7454,False
133,E]zo,6,11,"(1, 11, 49, 108, 115, 46, 0, 0, 0)",224,1,6,10,6,1,"(4, 4, 4, 3, 3, 4)",0.2222,0.4714,False
135,E]yw,6,11,"(1, 11, 49, 109, 118, 48, 0, 0, 0)",225,1,6,9,6,1,"(4, 3, 4, 3, 4, 4)",0.2222,0.4714,True
