Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
212,F?bNw,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 2, 1, 1, 3, 4, 6)",2.6939,1.6413,False
223,F?bmw,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 2, 1, 1, 3, 5, 5)",2.4082,1.5518,False
285,F?rLw,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 2, 1, 1, 4, 4, 5)",2.1224,1.4568,False
293,F?qmw,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 2, 1, 1, 4, 4, 5)",2.1224,1.4568,False
381,FCQVw,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",48,3,5,1,0,0,"(3, 2, 1, 3, 2, 3, 6)",2.1224,1.4568,False
402,FCRVg,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 3, 1, 3, 1, 4, 5)",1.8367,1.3552,False
414,FCQvg,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 2, 2, 3, 1, 4, 5)",1.551,1.2454,False
416,FCQuw,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",48,3,5,1,0,0,"(3, 2, 1, 3, 2, 4, 5)",1.551,1.2454,False
489,FCrLW,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(4, 2, 1, 1, 4, 4, 4)",1.8367,1.3552,False
551,FCZUg,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 3, 1, 3, 2, 4, 4)",0.9796,0.9897,False
567,FCZMW,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 3, 1, 1, 4, 4, 4)",1.551,1.2454,False
582,FCXmW,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(2, 3, 2, 1, 4, 4, 4)",1.2653,1.1249,False
593,FCY[w,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",40,3,5,3,1,0,"(3, 1, 1, 3, 4, 4, 4)",1.551,1.2454,False
628,FCdew,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",48,3,5,1,0,0,"(3, 2, 1, 3, 3, 3, 5)",1.2653,1.1249,False
870,FQhVO,7,10,"(1, 10, 40, 82, 91, 52, 12, 0, 0)",48,3,5,1,0,0,"(3, 3, 3, 2, 3, 2, 4)",0.4082,0.6389,False
230,F?rFw,7,10,"(1, 10, 41, 87, 100, 59, 14, 0, 0)",45,3,4,5,1,0,"(3, 3, 1, 1, 3, 3, 6)",2.4082,1.5518,False
263,F?rew,7,10,"(1, 10, 41, 87, 100, 59, 14, 0, 0)",45,3,4,5,1,0,"(3, 3, 1, 1, 3, 4, 5)",1.8367,1.3552,False
284,F?rNo,7,10,"(1, 10, 41, 87, 100, 59, 14, 0, 0)",45,3,4,5,1,0,"(3, 3, 1, 1, 4, 3, 5)",1.8367,1.3552,False
331,F?zUW,7,10,"(1, 10, 41, 87, 100, 59, 14, 0, 0)",45,3,4,5,1,0,"(3, 3, 1, 1, 4, 4, 4)",1.551,1.2454,False
465,FCreW,7,10,"(1, 10, 41, 87, 100, 59, 14, 0, 0)",45,3,4,5,1,0,"(4, 3, 1, 1, 3, 4, 4)",1.551,1.2454,False
523,FCXfW,7,10,"(1, 10, 41, 87, 100, 59, 14, 0, 0)",45,3,4,5,1,0,"(2, 3, 3, 1, 3, 3, 5)",1.2653,1.1249,False
580,FCXnO,7,10,"(1, 10, 41, 87, 100, 59, 14, 0, 0)",45,3,4,5,1,0,"(2, 3, 3, 1, 4, 3, 4)",0.9796,0.9897,False
158,F?Bvw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",48,2,4,6,0,0,"(2, 2, 2, 2, 1, 5, 6)",2.9796,1.7262,False
196,F?bfw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",52,2,4,4,2,0,"(3, 2, 2, 1, 2, 4, 6)",2.4082,1.5518,False
206,F?`vw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",60,2,4,3,0,0,"(2, 2, 2, 2, 2, 4, 6)",2.1224,1.4568,False
217,F?bvg,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",48,2,4,6,0,0,"(3, 2, 2, 2, 1, 5, 5)",2.1224,1.4568,False
218,F?bvW,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",52,2,4,4,2,0,"(3, 2, 2, 1, 2, 5, 5)",2.1224,1.4568,False
243,F?qfw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",55,2,4,3,2,1,"(3, 2, 2, 1, 3, 3, 6)",2.1224,1.4568,False
255,F?ovw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",64,2,4,2,0,0,"(2, 2, 2, 2, 3, 3, 6)",1.8367,1.3552,False
279,F?qvW,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",55,2,4,3,2,1,"(3, 2, 2, 1, 3, 4, 5)",1.551,1.2454,False
280,F?qtw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",52,2,4,4,2,0,"(3, 1, 2, 2, 3, 4, 5)",1.551,1.2454,False
294,F?qjw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",54,2,4,3,3,1,"(2, 2, 2, 1, 4, 4, 5)",1.8367,1.3552,False
302,F?o~W,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",52,2,4,4,2,0,"(2, 2, 2, 1, 4, 4, 5)",1.8367,1.3552,False
376,FCQfw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",63,2,4,2,1,0,"(3, 2, 2, 2, 2, 3, 6)",1.8367,1.3552,False
393,FCRfg,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",52,2,4,4,2,0,"(3, 3, 2, 2, 1, 4, 5)",1.551,1.2454,False
394,FCRew,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",55,2,4,3,2,1,"(3, 3, 1, 2, 2, 4, 5)",1.551,1.2454,False
403,FCRVW,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",55,2,4,3,2,1,"(3, 3, 1, 2, 2, 4, 5)",1.551,1.2454,False
415,FCQvW,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",63,2,4,2,1,0,"(3, 2, 2, 2, 2, 4, 5)",1.2653,1.1249,False
453,FCpfW,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",55,2,4,3,2,1,"(3, 3, 2, 1, 3, 3, 5)",1.2653,1.1249,False
564,FCZMg,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",55,2,4,3,2,1,"(3, 3, 1, 2, 3, 4, 4)",0.9796,0.9897,False
568,FCZLW,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",54,2,4,3,3,1,"(3, 2, 2, 1, 4, 4, 4)",1.2653,1.1249,False
569,FCZKw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",55,2,4,3,2,1,"(3, 2, 1, 2, 4, 4, 4)",1.2653,1.1249,False
581,FCXmo,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",63,2,4,2,1,0,"(2, 3, 2, 2, 4, 3, 4)",0.6939,0.833,False
583,FCXkw,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",60,2,4,3,0,0,"(2, 2, 2, 2, 4, 4, 4)",0.9796,0.9897,False
627,FCdfg,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",64,2,4,2,0,0,"(3, 2, 2, 3, 2, 3, 5)",0.9796,0.9897,False
869,FQhV_,7,10,"(1, 10, 41, 88, 104, 64, 16, 0, 0)",64,2,4,2,0,0,"(3, 3, 3, 3, 2, 2, 4)",0.4082,0.6389,False
404,FCRTw,7,10,"(1, 10, 41, 89, 108, 69, 18, 0, 0)",56,2,4,2,2,1,"(3, 2, 1, 3, 2, 4, 5)",1.551,1.2454,False
570,FCZIw,7,10,"(1, 10, 41, 89, 108, 69, 18, 0, 0)",56,2,4,2,2,1,"(2, 3, 1, 2, 4, 4, 4)",1.2653,1.1249,False
592,FCY]g,7,10,"(1, 10, 41, 89, 108, 69, 18, 0, 0)",56,2,4,2,2,1,"(3, 2, 1, 3, 3, 4, 4)",0.9796,0.9897,False
626,FCdfo,7,10,"(1, 10, 41, 89, 108, 69, 18, 0, 0)",64,2,4,2,0,0,"(3, 2, 2, 3, 3, 2, 5)",0.9796,0.9897,False
