Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
721,FCv^w,7,14,"(1, 14, 78, 220, 329, 246, 72, 0, 0)",540,2,13,12,6,1,"(4, 3, 1, 4, 5, 5, 6)",2.2857,1.5119,False
825,FEv\w,7,14,"(1, 14, 78, 220, 329, 246, 72, 0, 0)",540,2,13,12,6,1,"(4, 3, 1, 5, 5, 5, 5)",2.0,1.4142,False
930,FQznW,7,14,"(1, 14, 78, 220, 329, 246, 72, 0, 0)",540,2,13,12,6,1,"(4, 4, 4, 1, 5, 5, 5)",1.7143,1.3093,False
736,FEr^w,7,14,"(1, 14, 79, 227, 346, 263, 78, 0, 0)",576,2,12,15,6,1,"(4, 4, 1, 4, 4, 5, 6)",2.0,1.4142,False
824,FEv^o,7,14,"(1, 14, 79, 227, 346, 263, 78, 0, 0)",576,2,12,15,6,1,"(4, 4, 1, 5, 5, 4, 5)",1.7143,1.3093,False
641,FCf~w,7,14,"(1, 14, 79, 230, 364, 296, 96, 0, 0)",700,1,12,12,7,2,"(4, 2, 2, 4, 4, 6, 6)",2.2857,1.5119,False
722,FCu~w,7,14,"(1, 14, 79, 230, 364, 296, 96, 0, 0)",715,1,12,11,8,4,"(4, 2, 2, 4, 5, 5, 6)",2.0,1.4142,False
829,FEu|w,7,14,"(1, 14, 79, 230, 364, 296, 96, 0, 0)",720,1,12,11,7,3,"(4, 2, 2, 5, 5, 5, 5)",1.7143,1.3093,False
903,FQjnw,7,14,"(1, 14, 79, 230, 364, 296, 96, 0, 0)",775,1,12,9,7,4,"(4, 3, 4, 2, 4, 5, 6)",1.4286,1.1952,False
350,F?z~w,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",756,1,11,16,6,4,"(3, 3, 3, 2, 5, 6, 6)",2.2857,1.5119,False
516,FCr~w,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",784,1,11,14,9,3,"(4, 3, 2, 3, 4, 6, 6)",2.0,1.4142,False
617,FCZ~w,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",840,1,11,12,8,4,"(3, 3, 3, 3, 4, 6, 6)",1.7143,1.3093,False
673,FCznw,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",792,1,11,14,8,3,"(4, 3, 3, 2, 5, 5, 6)",1.7143,1.3093,False
678,FCz^w,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",799,1,11,13,10,4,"(4, 3, 2, 3, 5, 5, 6)",1.7143,1.3093,False
785,FEj^w,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",823,1,11,12,10,5,"(4, 3, 2, 4, 4, 5, 6)",1.4286,1.1952,False
848,FEl}w,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",816,1,11,12,11,5,"(3, 3, 2, 5, 5, 5, 5)",1.4286,1.1952,False
899,FQjvw,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",880,1,11,10,9,5,"(4, 3, 4, 3, 3, 5, 6)",1.1429,1.0691,False
931,FQzmw,7,14,"(1, 14, 80, 238, 387, 324, 108, 0, 0)",828,1,11,12,9,5,"(4, 4, 3, 2, 5, 5, 5)",1.1429,1.0691,False
932,FQzlw,7,14,"(1, 14, 80, 240, 399, 346, 120, 0, 0)",840,1,11,10,9,5,"(4, 3, 4, 2, 5, 5, 5)",1.1429,1.0691,False
