Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
16026,H?ACKN~,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 1, 1, 1, 1, 4, 4, 4, 8)",4.9877,2.2333,False
16098,H?ACMM~,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 1, 1, 1, 1, 4, 4, 5, 7)",4.321,2.0787,False
16135,H?ACNM^,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 1, 1, 1, 1, 4, 4, 6, 6)",4.0988,2.0245,False
18687,H?AELM^,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 1, 1, 1, 1, 4, 5, 5, 6)",3.8765,1.9689,False
27637,H?BDKmN,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 1, 1, 1, 1, 5, 5, 5, 5)",3.6543,1.9116,False
38203,H?`CSVz,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 2, 1, 1, 4, 1, 4, 4, 7)",3.6543,1.9116,False
38428,H?`CUUz,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 2, 1, 1, 4, 1, 4, 5, 6)",3.2099,1.7916,False
38449,H?`CTVZ,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 2, 1, 1, 4, 1, 4, 5, 6)",3.2099,1.7916,False
44367,H?`DSvJ,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 2, 1, 1, 4, 1, 5, 5, 5)",2.9877,1.7285,False
87872,H?aJCZ\,9,14,"(1, 14, 81, 254, 475, 546, 379, 146, 24)",125,5,10,5,1,0,"(4, 2, 1, 1, 4, 4, 2, 4, 6)",2.5432,1.5947,False
