Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
631,FCe^w,7,12,"(1, 12, 56, 130, 159, 98, 24, 0, 0)",125,3,10,5,1,0,"(4, 1, 1, 4, 4, 4, 6)",2.8163,1.6782,False
638,FCf\w,7,12,"(1, 12, 56, 130, 159, 98, 24, 0, 0)",125,3,10,5,1,0,"(4, 1, 1, 4, 4, 5, 5)",2.5306,1.5908,False
893,FQinW,7,12,"(1, 12, 56, 130, 159, 98, 24, 0, 0)",125,3,10,5,1,0,"(4, 2, 4, 1, 4, 4, 5)",1.6735,1.2936,False
312,F?rnw,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",180,2,8,8,3,1,"(3, 3, 2, 1, 4, 5, 6)",2.5306,1.5908,False
345,F?zmw,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",180,2,8,8,3,1,"(3, 3, 2, 1, 5, 5, 5)",2.2449,1.4983,False
429,FCR^w,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",192,2,8,6,4,1,"(3, 3, 1, 3, 3, 5, 6)",2.2449,1.4983,False
495,FCrNw,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",185,2,8,7,4,1,"(4, 3, 1, 2, 4, 4, 6)",2.2449,1.4983,False
508,FCrnW,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",180,2,8,8,3,1,"(4, 3, 2, 1, 4, 5, 5)",1.9592,1.3997,False
509,FCrmw,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",185,2,8,7,4,1,"(4, 3, 1, 2, 4, 5, 5)",1.9592,1.3997,False
587,FCXnw,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",225,2,8,5,1,0,"(2, 3, 3, 2, 4, 4, 6)",1.6735,1.2936,False
606,FCZnW,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",180,2,8,8,3,1,"(3, 3, 3, 1, 4, 5, 5)",1.6735,1.2936,False
613,FCZ]w,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",192,2,8,6,4,1,"(3, 3, 1, 3, 4, 5, 5)",1.6735,1.2936,False
635,FCfuw,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",185,2,8,7,4,1,"(4, 2, 1, 4, 3, 5, 5)",1.9592,1.3997,False
713,FCuuw,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",185,2,8,7,4,1,"(4, 2, 1, 4, 4, 4, 5)",1.6735,1.2936,False
872,FQhVw,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",256,2,8,2,0,0,"(3, 3, 3, 3, 3, 3, 6)",1.102,1.0498,False
878,FQjfW,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",185,2,8,7,4,1,"(4, 3, 4, 1, 3, 4, 5)",1.3878,1.178,False
892,FQino,7,12,"(1, 12, 58, 144, 193, 132, 36, 0, 0)",225,2,8,5,1,0,"(4, 2, 4, 2, 4, 3, 5)",1.102,1.0498,False
475,FCrVw,7,12,"(1, 12, 59, 151, 210, 149, 42, 0, 0)",209,2,7,8,6,1,"(4, 3, 1, 3, 3, 4, 6)",1.9592,1.3997,False
503,FCruw,7,12,"(1, 12, 59, 151, 210, 149, 42, 0, 0)",209,2,7,8,6,1,"(4, 3, 1, 3, 3, 5, 5)",1.6735,1.2936,False
637,FCf^o,7,12,"(1, 12, 59, 151, 210, 149, 42, 0, 0)",200,2,7,8,4,1,"(4, 2, 1, 4, 4, 4, 5)",1.6735,1.2936,False
698,FCvew,7,12,"(1, 12, 59, 151, 210, 149, 42, 0, 0)",209,2,7,8,6,1,"(4, 3, 1, 3, 4, 4, 5)",1.3878,1.178,False
705,FCvTw,7,12,"(1, 12, 59, 151, 210, 149, 42, 0, 0)",200,2,7,8,4,1,"(4, 2, 1, 4, 4, 4, 5)",1.6735,1.2936,False
761,FEitw,7,12,"(1, 12, 59, 151, 210, 149, 42, 0, 0)",209,2,7,8,6,1,"(4, 1, 3, 4, 3, 4, 5)",1.3878,1.178,False
803,FEzUg,7,12,"(1, 12, 59, 151, 210, 149, 42, 0, 0)",200,2,7,8,4,1,"(4, 4, 1, 4, 3, 4, 4)",1.102,1.0498,False
226,F?b~w,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",224,1,7,10,3,0,"(3, 2, 2, 2, 3, 6, 6)",2.8163,1.6782,False
319,F?q~w,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",236,1,7,8,5,2,"(3, 2, 2, 2, 4, 5, 6)",2.2449,1.4983,False
348,F?z\w,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",242,1,7,7,6,4,"(3, 2, 2, 2, 5, 5, 5)",1.9592,1.3997,False
427,FCRvw,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",248,1,7,7,5,1,"(3, 3, 2, 3, 2, 5, 6)",1.9592,1.3997,False
499,FCqnw,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",243,1,7,7,6,3,"(4, 2, 2, 2, 4, 4, 6)",1.9592,1.3997,False
510,FCrlw,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",245,1,7,7,5,3,"(4, 2, 2, 2, 4, 5, 5)",1.6735,1.2936,False
558,FCZVw,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",272,1,7,5,4,3,"(3, 3, 2, 3, 3, 4, 6)",1.3878,1.178,False
578,FCZNw,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",257,1,7,6,5,3,"(3, 3, 2, 2, 4, 4, 6)",1.6735,1.2936,False
598,FCY^w,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",256,1,7,6,5,2,"(3, 2, 2, 3, 4, 4, 6)",1.6735,1.2936,False
607,FCZmw,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",257,1,7,6,5,3,"(3, 3, 2, 2, 4, 5, 5)",1.3878,1.178,False
614,FCZ\w,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",264,1,7,5,6,4,"(3, 2, 2, 3, 4, 5, 5)",1.3878,1.178,False
633,FCfvg,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",240,1,7,8,3,2,"(4, 2, 2, 4, 2, 5, 5)",1.6735,1.2936,False
877,FQjfg,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",260,1,7,6,4,2,"(4, 3, 4, 2, 2, 4, 5)",1.102,1.0498,False
889,FQjVg,7,12,"(1, 12, 59, 152, 216, 160, 48, 0, 0)",272,1,7,5,4,3,"(4, 3, 3, 3, 2, 4, 5)",0.8163,0.9035,False
608,FCZjw,7,12,"(1, 12, 59, 153, 222, 171, 54, 0, 0)",255,1,7,6,4,2,"(2, 3, 3, 2, 4, 5, 5)",1.3878,1.178,False
880,FQjdw,7,12,"(1, 12, 59, 153, 222, 171, 54, 0, 0)",260,1,7,6,3,3,"(4, 2, 4, 2, 3, 4, 5)",1.102,1.0498,False
918,FQytW,7,12,"(1, 12, 59, 154, 228, 182, 60, 0, 0)",275,1,7,5,4,3,"(4, 2, 4, 2, 4, 4, 4)",0.8163,0.9035,False
326,F?zfw,7,12,"(1, 12, 60, 157, 223, 161, 46, 0, 0)",216,2,6,12,3,1,"(3, 3, 3, 1, 4, 4, 6)",1.9592,1.3997,False
344,F?zno,7,12,"(1, 12, 60, 157, 223, 161, 46, 0, 0)",216,2,6,12,3,1,"(3, 3, 3, 1, 5, 4, 5)",1.6735,1.2936,False
513,FCr^o,7,12,"(1, 12, 60, 157, 223, 161, 46, 0, 0)",224,2,6,10,6,1,"(4, 3, 1, 3, 4, 4, 5)",1.3878,1.178,False
650,FCzfW,7,12,"(1, 12, 60, 157, 223, 161, 46, 0, 0)",216,2,6,12,3,1,"(4, 3, 3, 1, 4, 4, 5)",1.3878,1.178,False
704,FCvVW,7,12,"(1, 12, 60, 157, 223, 161, 46, 0, 0)",224,2,6,10,6,1,"(4, 3, 1, 3, 4, 4, 5)",1.3878,1.178,False
802,FEzUo,7,12,"(1, 12, 60, 157, 223, 161, 46, 0, 0)",224,2,6,10,6,1,"(4, 4, 1, 4, 4, 3, 4)",1.102,1.0498,False
703,FCvVo,7,12,"(1, 12, 60, 158, 227, 166, 48, 0, 0)",225,2,6,9,6,1,"(4, 3, 1, 4, 4, 3, 5)",1.3878,1.178,False
805,FEzSw,7,12,"(1, 12, 60, 158, 227, 166, 48, 0, 0)",225,2,6,9,6,1,"(4, 3, 1, 4, 4, 4, 4)",1.102,1.0498,False
307,F?rvw,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",264,1,6,10,5,2,"(3, 3, 2, 2, 3, 5, 6)",1.9592,1.3997,False
337,F?zVw,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",273,1,6,9,5,4,"(3, 3, 2, 2, 4, 4, 6)",1.6735,1.2936,False
469,FCrfw,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",272,1,6,9,6,2,"(4, 3, 2, 2, 3, 4, 6)",1.6735,1.2936,False
507,FCrng,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",278,1,6,8,7,3,"(4, 3, 2, 2, 3, 5, 5)",1.3878,1.178,False
542,FCZfw,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",288,1,6,8,5,3,"(3, 3, 3, 2, 3, 4, 6)",1.3878,1.178,False
605,FCZng,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",288,1,6,8,5,3,"(3, 3, 3, 2, 3, 5, 5)",1.102,1.0498,False
634,FCfvW,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",276,1,6,8,7,2,"(4, 2, 2, 3, 3, 5, 5)",1.3878,1.178,False
697,FCvfW,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",281,1,6,8,6,3,"(4, 3, 2, 2, 4, 4, 5)",1.102,1.0498,False
712,FCuvW,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",287,1,6,7,7,4,"(4, 2, 2, 3, 4, 4, 5)",1.102,1.0498,False
879,FQjew,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",297,1,6,7,5,4,"(4, 3, 3, 2, 3, 4, 5)",0.8163,0.9035,False
910,FQzUW,7,12,"(1, 12, 60, 159, 234, 180, 56, 0, 0)",288,1,6,7,7,3,"(4, 4, 2, 2, 4, 4, 4)",0.8163,0.9035,False
487,FCpvw,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",297,1,6,7,8,3,"(3, 3, 2, 3, 3, 4, 6)",1.3878,1.178,False
502,FCrvg,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",276,1,6,8,5,2,"(4, 3, 2, 3, 2, 5, 5)",1.3878,1.178,False
511,FCrjw,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",279,1,6,7,7,3,"(3, 3, 2, 2, 4, 5, 5)",1.3878,1.178,False
601,FCZvg,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",288,1,6,8,3,2,"(3, 3, 3, 3, 2, 5, 5)",1.102,1.0498,False
612,FCZ^g,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",296,1,6,6,6,4,"(3, 3, 2, 3, 3, 5, 5)",1.102,1.0498,False
699,FCvdw,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",289,1,6,6,7,4,"(4, 2, 2, 3, 4, 4, 5)",1.102,1.0498,False
711,FCuvo,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",285,1,6,7,5,4,"(4, 2, 2, 4, 4, 3, 5)",1.102,1.0498,False
759,FEivg,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",284,1,6,7,6,3,"(4, 2, 3, 4, 2, 4, 5)",1.102,1.0498,False
773,FEhtw,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",308,1,6,6,8,5,"(3, 2, 3, 4, 3, 4, 5)",0.8163,0.9035,False
876,FQjfo,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",305,1,6,5,6,4,"(4, 3, 4, 2, 3, 3, 5)",0.8163,0.9035,False
888,FQjVo,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",320,1,6,4,5,4,"(4, 3, 3, 3, 3, 3, 5)",0.5306,0.7284,False
907,FQzVO,7,12,"(1, 12, 60, 160, 239, 188, 60, 0, 0)",305,1,6,5,6,4,"(4, 4, 3, 2, 4, 3, 4)",0.5306,0.7284,False
746,FEhfw,7,12,"(1, 12, 60, 160, 240, 191, 62, 0, 0)",320,1,6,6,6,7,"(3, 3, 3, 3, 3, 3, 6)",1.102,1.0498,False
771,FEhvg,7,12,"(1, 12, 60, 161, 245, 199, 66, 0, 0)",308,1,6,6,6,5,"(3, 3, 3, 4, 2, 4, 5)",0.8163,0.9035,False
