Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
94,EEvw,6,10,"(1, 10, 38, 68, 57, 18, 0, 0, 0)",75,2,7,5,1,0,"(3, 3, 1, 4, 4, 5)",1.5556,1.2472,False
129,ETno,6,10,"(1, 10, 38, 68, 57, 18, 0, 0, 0)",75,2,7,5,1,0,"(4, 1, 4, 4, 3, 4)",1.2222,1.1055,False
73,EC~w,6,10,"(1, 10, 39, 74, 68, 24, 0, 0, 0)",96,1,6,6,2,0,"(3, 2, 2, 3, 5, 5)",1.5556,1.2472,False
97,EEnw,6,10,"(1, 10, 39, 74, 68, 24, 0, 0, 0)",99,1,6,5,3,1,"(3, 2, 2, 4, 4, 5)",1.2222,1.1055,False
114,EQzw,6,10,"(1, 10, 39, 74, 68, 24, 0, 0, 0)",104,1,6,4,3,1,"(3, 3, 3, 2, 4, 5)",0.8889,0.9428,False
127,ETzg,6,10,"(1, 10, 39, 74, 68, 24, 0, 0, 0)",100,1,6,5,2,1,"(4, 2, 4, 2, 4, 4)",0.8889,0.9428,False
91,EEzw,6,10,"(1, 10, 40, 79, 76, 28, 0, 0, 0)",111,1,5,7,3,1,"(3, 3, 2, 3, 4, 5)",0.8889,0.9428,False
123,EUzW,6,10,"(1, 10, 40, 79, 76, 28, 0, 0, 0)",114,1,5,6,4,1,"(4, 3, 2, 3, 4, 4)",0.5556,0.7454,False
120,EUZw,6,10,"(1, 10, 40, 80, 79, 30, 0, 0, 0)",121,1,5,5,6,1,"(3, 3, 3, 3, 3, 5)",0.5556,0.7454,False
126,ETzo,6,10,"(1, 10, 40, 80, 79, 30, 0, 0, 0)",115,1,5,5,4,1,"(4, 2, 4, 3, 3, 4)",0.5556,0.7454,False
101,EFzW,6,10,"(1, 10, 41, 84, 84, 32, 0, 0, 0)",120,1,4,8,3,1,"(3, 3, 2, 4, 4, 4)",0.5556,0.7454,False
115,EQ~o,6,10,"(1, 10, 41, 84, 84, 32, 0, 0, 0)",128,1,4,6,4,1,"(3, 3, 3, 3, 4, 4)",0.2222,0.4714,False
122,EUzo,6,10,"(1, 10, 41, 85, 87, 34, 0, 0, 0)",130,1,4,6,6,1,"(4, 3, 3, 3, 3, 4)",0.2222,0.4714,False
100,EFzo,6,10,"(1, 10, 42, 90, 95, 38, 0, 0, 0)",135,1,3,9,3,1,"(3, 3, 3, 4, 3, 4)",0.2222,0.4714,True
