Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
107732,H?bM]^~,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 4, 1, 1, 5, 6, 6, 6, 8)",4.8889,2.2111,False
107748,H?bM^^^,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 4, 1, 1, 5, 6, 6, 7, 7)",4.6667,2.1603,False
145682,H?rM]]~,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 4, 1, 1, 6, 6, 6, 6, 7)",4.4444,2.1082,False
150629,H?qm]^^,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 4, 1, 1, 6, 6, 6, 6, 7)",4.4444,2.1082,False
196040,HCRUmnv,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 5, 1, 5, 1, 6, 6, 6, 7)",4.2222,2.0548,False
203178,HCQtlnv,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 2, 4, 5, 1, 6, 6, 6, 7)",3.5556,1.8856,False
225834,HCrM]]n,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(6, 4, 1, 1, 6, 6, 6, 6, 6)",4.2222,2.0548,False
237189,HCZUmnV,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 5, 1, 5, 2, 6, 6, 6, 6)",3.1111,1.7638,False
243046,HCZM]^N,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 5, 1, 1, 6, 6, 6, 6, 6)",4.0,2.0,False
247206,HCXjZ^N,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(2, 5, 4, 1, 6, 6, 6, 6, 6)",3.3333,1.8257,False
249560,HCY[{}^,9,21,"(1, 21, 184, 874, 2449, 4129, 4086, 2176, 480)",8232,3,26,31,21,7,"(5, 1, 1, 5, 6, 6, 6, 6, 6)",4.0,2.0,False
111217,H?rE]^~,9,21,"(1, 21, 185, 886, 2505, 4259, 4245, 2274, 504)",8575,3,25,35,21,7,"(5, 5, 1, 1, 5, 5, 6, 6, 8)",4.6667,2.1603,False
111233,H?rE^^^,9,21,"(1, 21, 185, 886, 2505, 4259, 4245, 2274, 504)",8575,3,25,35,21,7,"(5, 5, 1, 1, 5, 5, 6, 7, 7)",4.4444,2.1082,False
145678,H?rM^Z^,9,21,"(1, 21, 185, 886, 2505, 4259, 4245, 2274, 504)",8575,3,25,35,21,7,"(5, 5, 1, 1, 6, 6, 5, 6, 7)",4.2222,2.0548,False
145681,H?rM]^},9,21,"(1, 21, 185, 886, 2505, 4259, 4245, 2274, 504)",8575,3,25,35,21,7,"(5, 5, 1, 1, 6, 6, 6, 5, 7)",4.2222,2.0548,False
