Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
36,E?rw,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",8,3,2,1,0,0,"(2, 2, 1, 1, 3, 5)",1.8889,1.3744,False
39,E?zW,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",8,3,2,1,0,0,"(2, 2, 1, 1, 4, 4)",1.5556,1.2472,False
45,ECRw,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",9,3,2,0,0,0,"(2, 2, 1, 2, 2, 5)",1.5556,1.2472,False
50,ECrg,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",8,3,2,1,0,0,"(3, 2, 1, 1, 3, 4)",1.2222,1.1055,False
58,ECZg,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",8,3,2,1,0,0,"(2, 2, 2, 1, 3, 4)",0.8889,0.9428,False
59,ECZW,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",9,3,2,0,0,0,"(2, 2, 1, 2, 3, 4)",0.8889,0.9428,False
61,ECfo,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",8,3,2,1,0,0,"(3, 1, 1, 3, 2, 4)",1.2222,1.1055,False
81,EEiW,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",8,3,2,1,0,0,"(3, 1, 1, 3, 3, 3)",0.8889,0.9428,False
104,EQj_,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",8,3,2,1,0,0,"(3, 2, 3, 1, 2, 3)",0.5556,0.7454,False
105,EQjO,6,7,"(1, 7, 19, 25, 16, 4, 0, 0, 0)",9,3,2,0,0,0,"(3, 2, 2, 2, 2, 3)",0.2222,0.4714,False
49,ECro,6,7,"(1, 7, 20, 29, 21, 6, 0, 0, 0)",11,2,1,1,1,0,"(3, 2, 1, 2, 2, 4)",0.8889,0.9428,False
57,ECZo,6,7,"(1, 7, 20, 29, 21, 6, 0, 0, 0)",12,2,1,1,0,0,"(2, 2, 2, 2, 2, 4)",0.5556,0.7454,False
79,EEio,6,7,"(1, 7, 20, 29, 21, 6, 0, 0, 0)",11,2,1,1,1,0,"(3, 1, 2, 3, 2, 3)",0.5556,0.7454,False
82,EEhW,6,7,"(1, 7, 20, 29, 21, 6, 0, 0, 0)",11,2,1,1,1,0,"(2, 2, 1, 3, 3, 3)",0.5556,0.7454,False
80,EEho,6,7,"(1, 7, 20, 30, 24, 8, 0, 0, 0)",14,1,1,0,1,1,"(2, 2, 2, 3, 2, 3)",0.2222,0.4714,False
38,E?zo,6,7,"(1, 7, 21, 32, 24, 7, 0, 0, 0)",12,2,0,3,0,0,"(2, 2, 2, 1, 3, 4)",0.8889,0.9428,False
74,EEr_,6,7,"(1, 7, 21, 32, 24, 7, 0, 0, 0)",12,2,0,3,0,0,"(3, 3, 1, 2, 2, 3)",0.5556,0.7454,False
78,EEj_,6,7,"(1, 7, 21, 33, 27, 9, 0, 0, 0)",15,1,0,2,0,1,"(3, 2, 2, 2, 2, 3)",0.2222,0.4714,False
63,ECxo,6,7,"(1, 7, 21, 34, 29, 10, 0, 0, 0)",16,1,0,1,2,0,"(2, 2, 2, 2, 3, 3)",0.2222,0.4714,True
