Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
131,ET~w,6,12,"(1, 12, 55, 120, 124, 48, 0, 0, 0)",300,1,11,8,4,1,"(4, 2, 4, 4, 5, 5)",1.0,1.0,False
103,EF~w,6,12,"(1, 12, 56, 126, 135, 54, 0, 0, 0)",324,1,10,12,3,1,"(3, 3, 3, 5, 5, 5)",1.0,1.0,False
125,EU~w,6,12,"(1, 12, 56, 126, 135, 54, 0, 0, 0)",336,1,10,10,6,1,"(4, 3, 3, 4, 5, 5)",0.6667,0.8165,False
136,E]zw,6,12,"(1, 12, 57, 132, 146, 60, 0, 0, 0)",360,1,9,12,6,1,"(4, 4, 4, 3, 4, 5)",0.3333,0.5773,False
137,E]~o,6,12,"(1, 12, 58, 137, 154, 64, 0, 0, 0)",384,1,8,15,6,1,"(4, 4, 4, 4, 4, 4)",0.0,0.0,True
