Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
996,G??CF{,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 1, 1, 1, 1, 1, 2, 7)",3.75,1.9365,False
1000,G??ED{,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 1, 1, 1, 1, 1, 3, 6)",2.75,1.6583,False
1005,G??FC{,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 1, 1, 1, 1, 1, 4, 5)",2.25,1.5,False
1022,G?AAFw,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 2, 1, 1, 1, 2, 1, 6)",2.5,1.5811,False
1027,G?AEDw,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(3, 1, 1, 1, 1, 2, 2, 5)",1.75,1.3229,False
1029,G?AEDs,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(3, 1, 1, 1, 1, 1, 3, 5)",2.0,1.4142,False
1036,G?ABEw,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 2, 1, 1, 1, 2, 2, 5)",1.5,1.2247,False
1037,G?ABEs,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 2, 1, 1, 1, 1, 3, 5)",1.75,1.3229,False
1038,G?ABC{,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 1, 1, 1, 1, 2, 3, 5)",1.75,1.3229,False
1043,G?ACNo,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(3, 1, 1, 1, 1, 2, 2, 5)",1.75,1.3229,False
1049,G?AFCw,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(3, 1, 1, 1, 1, 2, 3, 4)",1.25,1.118,False
1051,G?AFCs,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(3, 1, 1, 1, 1, 1, 4, 4)",1.75,1.3229,False
1067,G?ABeW,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 2, 1, 1, 1, 2, 3, 4)",1.0,1.0,False
1068,G?ABeS,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 2, 1, 1, 1, 1, 4, 4)",1.5,1.2247,False
1069,G?ABc[,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 1, 1, 1, 1, 2, 4, 4)",1.5,1.2247,False
1078,G?AELo,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(3, 1, 1, 1, 1, 2, 3, 4)",1.25,1.118,False
1079,G?AEJo,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 2, 1, 1, 1, 2, 3, 4)",1.0,1.0,False
1142,G?BDCw,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(3, 1, 1, 1, 1, 3, 2, 4)",1.25,1.118,False
1143,G?BDAw,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 2, 1, 1, 1, 3, 2, 4)",1.0,1.0,False
1160,G?B@dW,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 1, 2, 1, 1, 3, 2, 4)",1.0,1.0,False
1162,G?B@c[,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 1, 1, 1, 1, 3, 3, 4)",1.25,1.118,False
1189,G?BDaW,8,8,"(1, 8, 27, 50, 55, 36, 13, 2, 0)",3,6,1,0,0,0,"(2, 2, 1, 1, 1, 3, 3, 3)",0.75,0.866,False
