Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
826,FEv^w,7,15,"(1, 15, 89, 265, 414, 320, 96, 0, 0)",864,2,16,15,6,1,"(4, 4, 1, 5, 5, 5, 6)",2.2041,1.4846,False
978,FTm~o,7,15,"(1, 15, 89, 265, 414, 320, 96, 0, 0)",864,2,16,15,6,1,"(5, 1, 5, 5, 5, 4, 5)",1.9184,1.3851,False
723,FCv~w,7,15,"(1, 15, 91, 285, 484, 420, 144, 0, 0)",1260,1,14,16,10,4,"(4, 3, 2, 4, 5, 6, 6)",1.9184,1.3851,False
830,FEu~w,7,15,"(1, 15, 91, 285, 484, 420, 144, 0, 0)",1284,1,14,15,11,5,"(4, 3, 2, 5, 5, 5, 6)",1.6327,1.2778,False
905,FQj~w,7,15,"(1, 15, 91, 285, 484, 420, 144, 0, 0)",1400,1,14,12,10,5,"(4, 3, 4, 3, 4, 6, 6)",1.3469,1.1606,False
933,FQznw,7,15,"(1, 15, 91, 285, 484, 420, 144, 0, 0)",1320,1,14,14,11,5,"(4, 4, 4, 2, 5, 5, 6)",1.3469,1.1606,False
976,FTnvg,7,15,"(1, 15, 91, 285, 484, 420, 144, 0, 0)",1296,1,14,15,9,5,"(5, 2, 5, 5, 3, 5, 5)",1.3469,1.1606,False
738,FEr~w,7,15,"(1, 15, 92, 293, 507, 448, 156, 0, 0)",1344,1,13,19,10,5,"(4, 4, 2, 4, 4, 6, 6)",1.6327,1.2778,False
823,FEvvw,7,15,"(1, 15, 92, 293, 507, 448, 156, 0, 0)",1368,1,13,18,11,5,"(4, 4, 2, 5, 4, 5, 6)",1.3469,1.1606,False
962,FUz]w,7,15,"(1, 15, 92, 293, 507, 448, 156, 0, 0)",1392,1,13,17,12,5,"(5, 4, 2, 4, 5, 5, 5)",1.0612,1.0301,False
355,F?~~w,7,15,"(1, 15, 92, 294, 513, 459, 162, 0, 0)",1323,1,13,22,6,4,"(3, 3, 3, 3, 6, 6, 6)",2.2041,1.4846,False
681,FCz~w,7,15,"(1, 15, 92, 294, 513, 459, 162, 0, 0)",1407,1,13,18,12,4,"(4, 3, 3, 3, 5, 6, 6)",1.6327,1.2778,False
793,FEj~w,7,15,"(1, 15, 92, 294, 513, 459, 162, 0, 0)",1463,1,13,16,13,7,"(4, 3, 3, 4, 4, 6, 6)",1.3469,1.1606,False
849,FEl~w,7,15,"(1, 15, 92, 294, 513, 459, 162, 0, 0)",1445,1,13,16,15,7,"(3, 3, 3, 5, 5, 5, 6)",1.3469,1.1606,False
935,FQz^w,7,15,"(1, 15, 92, 294, 513, 459, 162, 0, 0)",1488,1,13,15,14,7,"(4, 4, 3, 3, 5, 5, 6)",1.0612,1.0301,False
938,FQy~w,7,15,"(1, 15, 92, 295, 519, 470, 168, 0, 0)",1495,1,13,14,14,7,"(4, 3, 4, 3, 5, 5, 6)",1.0612,1.0301,False
975,FTnvo,7,15,"(1, 15, 92, 295, 519, 470, 168, 0, 0)",1404,1,13,15,12,5,"(5, 2, 5, 5, 4, 4, 5)",1.0612,1.0301,False
853,FE~uw,7,15,"(1, 15, 93, 302, 536, 487, 174, 0, 0)",1440,1,12,19,11,5,"(4, 4, 2, 5, 5, 5, 5)",1.0612,1.0301,False
818,FEznw,7,15,"(1, 15, 93, 303, 542, 498, 180, 0, 0)",1536,1,12,19,12,7,"(4, 4, 3, 3, 5, 5, 6)",1.0612,1.0301,False
846,FEnvw,7,15,"(1, 15, 93, 303, 542, 498, 180, 0, 0)",1543,1,12,18,15,7,"(4, 3, 3, 5, 4, 5, 6)",1.0612,1.0301,False
928,FQzvw,7,15,"(1, 15, 93, 303, 542, 498, 180, 0, 0)",1600,1,12,16,16,7,"(4, 4, 4, 3, 4, 5, 6)",0.7755,0.8806,False
971,FTzvW,7,15,"(1, 15, 93, 303, 542, 498, 180, 0, 0)",1572,1,12,17,15,7,"(5, 3, 5, 3, 4, 5, 5)",0.7755,0.8806,False
949,FUZvw,7,15,"(1, 15, 93, 304, 548, 509, 186, 0, 0)",1615,1,12,16,18,7,"(4, 4, 4, 4, 3, 5, 6)",0.7755,0.8806,False
970,FTzvg,7,15,"(1, 15, 93, 305, 554, 520, 192, 0, 0)",1584,1,12,15,15,7,"(5, 3, 5, 4, 3, 5, 5)",0.7755,0.8806,False
727,FC~vw,7,15,"(1, 15, 94, 311, 565, 526, 192, 0, 0)",1575,1,11,22,12,4,"(4, 3, 3, 4, 5, 5, 6)",1.0612,1.0301,False
854,FE~tw,7,15,"(1, 15, 94, 311, 565, 526, 192, 0, 0)",1615,1,11,20,15,7,"(4, 3, 3, 5, 5, 5, 5)",0.7755,0.8806,False
941,FQ~vW,7,15,"(1, 15, 94, 311, 565, 526, 192, 0, 0)",1675,1,11,18,16,7,"(4, 4, 4, 3, 5, 5, 5)",0.4898,0.6999,False
961,FUz^o,7,15,"(1, 15, 94, 311, 565, 526, 192, 0, 0)",1682,1,11,19,18,7,"(5, 4, 3, 4, 5, 4, 5)",0.4898,0.6999,False
815,FEzvw,7,15,"(1, 15, 94, 312, 571, 537, 198, 0, 0)",1648,1,11,20,15,7,"(4, 4, 3, 4, 4, 5, 6)",0.7755,0.8806,False
959,FUzvW,7,15,"(1, 15, 94, 312, 571, 537, 198, 0, 0)",1687,1,11,18,18,7,"(5, 4, 4, 3, 4, 5, 5)",0.4898,0.6999,False
956,FUxvw,7,15,"(1, 15, 94, 313, 577, 548, 204, 0, 0)",1728,1,11,17,21,7,"(4, 4, 4, 4, 4, 4, 6)",0.4898,0.6999,False
969,FTzvo,7,15,"(1, 15, 94, 313, 577, 548, 204, 0, 0)",1692,1,11,17,18,7,"(5, 3, 5, 4, 4, 4, 5)",0.4898,0.6999,False
852,FE~vW,7,15,"(1, 15, 95, 319, 589, 557, 206, 0, 0)",1720,1,10,23,15,7,"(4, 4, 3, 4, 5, 5, 5)",0.4898,0.6999,False
950,FUZ~o,7,15,"(1, 15, 95, 320, 594, 565, 210, 0, 0)",1805,1,10,20,21,7,"(4, 4, 4, 4, 4, 5, 5)",0.2041,0.4518,False
851,FE~vo,7,15,"(1, 15, 95, 321, 600, 576, 216, 0, 0)",1728,1,10,21,15,7,"(4, 4, 3, 5, 5, 4, 5)",0.4898,0.6999,False
940,FQ~vo,7,15,"(1, 15, 95, 321, 600, 576, 216, 0, 0)",1800,1,10,18,18,7,"(4, 4, 4, 4, 5, 4, 5)",0.2041,0.4518,False
958,FUzvo,7,15,"(1, 15, 95, 321, 600, 576, 216, 0, 0)",1807,1,10,19,21,7,"(5, 4, 4, 4, 4, 4, 5)",0.2041,0.4518,False
863,FFzvg,7,15,"(1, 15, 95, 322, 606, 587, 222, 0, 0)",1728,1,10,21,12,7,"(4, 4, 4, 5, 3, 5, 5)",0.4898,0.6999,False
860,FFzfw,7,15,"(1, 15, 96, 329, 624, 607, 230, 0, 0)",1792,1,9,27,9,7,"(4, 4, 4, 4, 4, 4, 6)",0.4898,0.6999,True
862,FFzvo,7,15,"(1, 15, 96, 329, 624, 607, 230, 0, 0)",1840,1,9,24,15,7,"(4, 4, 4, 5, 4, 4, 5)",0.2041,0.4518,True
