Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
981,FT~~w,7,18,"(1, 18, 130, 480, 949, 942, 360, 0, 0)",5292,1,23,25,18,7,"(5, 3, 5, 5, 6, 6, 6)",0.9796,0.9897,False
867,FF~~w,7,18,"(1, 18, 131, 490, 984, 992, 384, 0, 0)",5488,1,22,31,15,7,"(4, 4, 4, 6, 6, 6, 6)",0.9796,0.9897,False
968,FU~~w,7,18,"(1, 18, 131, 490, 984, 992, 384, 0, 0)",5635,1,22,28,21,7,"(5, 4, 4, 5, 6, 6, 6)",0.6939,0.833,False
988,F]z~w,7,18,"(1, 18, 132, 500, 1019, 1042, 408, 0, 0)",5880,1,21,31,21,7,"(5, 5, 5, 4, 5, 6, 6)",0.4082,0.6389,False
990,F]~vw,7,18,"(1, 18, 133, 509, 1048, 1081, 426, 0, 0)",6125,1,20,35,21,7,"(5, 5, 5, 5, 5, 5, 6)",0.1224,0.3499,True
