Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
639,FCf^w,7,13,"(1, 13, 67, 175, 244, 172, 48, 0, 0)",300,2,11,8,4,1,"(4, 2, 1, 4, 4, 5, 6)",2.4898,1.5779,False
720,FCv\w,7,13,"(1, 13, 67, 175, 244, 172, 48, 0, 0)",300,2,11,8,4,1,"(4, 2, 1, 4, 5, 5, 5)",2.2041,1.4846,False
894,FQinw,7,13,"(1, 13, 67, 175, 244, 172, 48, 0, 0)",375,2,11,5,1,0,"(4, 2, 4, 2, 4, 4, 6)",1.6327,1.2778,False
901,FQjnW,7,13,"(1, 13, 67, 175, 244, 172, 48, 0, 0)",300,2,11,8,4,1,"(4, 3, 4, 1, 4, 5, 5)",1.6327,1.2778,False
346,F?znw,7,13,"(1, 13, 68, 182, 261, 189, 54, 0, 0)",324,2,10,12,3,1,"(3, 3, 3, 1, 5, 5, 6)",2.4898,1.5779,False
514,FCr^w,7,13,"(1, 13, 68, 182, 261, 189, 54, 0, 0)",336,2,10,10,6,1,"(4, 3, 1, 3, 4, 5, 6)",2.2041,1.4846,False
670,FCznW,7,13,"(1, 13, 68, 182, 261, 189, 54, 0, 0)",324,2,10,12,3,1,"(4, 3, 3, 1, 5, 5, 5)",1.9184,1.3851,False
676,FCz]w,7,13,"(1, 13, 68, 182, 261, 189, 54, 0, 0)",336,2,10,10,6,1,"(4, 3, 1, 3, 5, 5, 5)",1.9184,1.3851,False
783,FEj]w,7,13,"(1, 13, 68, 182, 261, 189, 54, 0, 0)",336,2,10,10,6,1,"(4, 3, 1, 4, 4, 5, 5)",1.6327,1.2778,False
902,FQjlw,7,13,"(1, 13, 68, 185, 279, 222, 72, 0, 0)",425,1,10,6,4,3,"(4, 2, 4, 2, 4, 5, 5)",1.3469,1.1606,False
706,FCvVw,7,13,"(1, 13, 69, 189, 278, 206, 60, 0, 0)",360,2,9,12,6,1,"(4, 3, 1, 4, 4, 4, 6)",1.9184,1.3851,False
719,FCv^o,7,13,"(1, 13, 69, 189, 278, 206, 60, 0, 0)",360,2,9,12,6,1,"(4, 3, 1, 4, 5, 4, 5)",1.6327,1.2778,False
732,FEruw,7,13,"(1, 13, 69, 189, 278, 206, 60, 0, 0)",360,2,9,12,6,1,"(4, 4, 1, 4, 3, 5, 5)",1.6327,1.2778,False
809,FEzUw,7,13,"(1, 13, 69, 189, 278, 206, 60, 0, 0)",360,2,9,12,6,1,"(4, 4, 1, 4, 4, 4, 5)",1.3469,1.1606,False
321,F?r~w,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",420,1,9,12,5,2,"(3, 3, 2, 2, 4, 6, 6)",2.4898,1.5779,False
349,F?z^w,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",429,1,9,11,6,4,"(3, 3, 2, 2, 5, 5, 6)",2.2041,1.4846,False
431,FCR~w,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",448,1,9,10,6,1,"(3, 3, 2, 3, 3, 6, 6)",2.2041,1.4846,False
512,FCrnw,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",441,1,9,10,7,3,"(4, 3, 2, 2, 4, 5, 6)",1.9184,1.3851,False
609,FCZnw,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",465,1,9,9,6,3,"(3, 3, 3, 2, 4, 5, 6)",1.6327,1.2778,False
615,FCZ^w,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",472,1,9,8,7,4,"(3, 3, 2, 3, 4, 5, 6)",1.6327,1.2778,False
636,FCfvw,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",440,1,9,10,7,2,"(4, 2, 2, 4, 3, 5, 6)",1.9184,1.3851,False
671,FCzmw,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",444,1,9,10,6,3,"(4, 3, 2, 2, 5, 5, 5)",1.6327,1.2778,False
677,FCz\w,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",451,1,9,9,8,4,"(4, 2, 2, 3, 5, 5, 5)",1.6327,1.2778,False
714,FCuvw,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",455,1,9,9,7,4,"(4, 2, 2, 4, 4, 4, 6)",1.6327,1.2778,False
784,FEj\w,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",456,1,9,9,7,3,"(4, 2, 2, 4, 4, 5, 5)",1.3469,1.1606,False
881,FQjfw,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",480,1,9,8,6,4,"(4, 3, 4, 2, 3, 4, 6)",1.3469,1.1606,False
890,FQjVw,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",512,1,9,6,6,4,"(4, 3, 3, 3, 3, 4, 6)",1.0612,1.0301,False
896,FQjvg,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",480,1,9,8,5,3,"(4, 3, 4, 3, 2, 5, 5)",1.0612,1.0301,False
897,FQjvW,7,13,"(1, 13, 69, 191, 290, 228, 72, 0, 0)",480,1,9,8,6,4,"(4, 3, 4, 2, 3, 5, 5)",1.0612,1.0301,False
735,FEr^o,7,13,"(1, 13, 70, 195, 291, 218, 64, 0, 0)",384,2,8,15,6,1,"(4, 4, 1, 4, 4, 4, 5)",1.3469,1.1606,False
505,FCrvw,7,13,"(1, 13, 70, 199, 313, 256, 84, 0, 0)",497,1,8,11,9,3,"(4, 3, 2, 3, 3, 5, 6)",1.6327,1.2778,False
602,FCZvw,7,13,"(1, 13, 70, 199, 313, 256, 84, 0, 0)",528,1,8,10,7,4,"(3, 3, 3, 3, 3, 5, 6)",1.3469,1.1606,False
679,FCx}w,7,13,"(1, 13, 70, 199, 313, 256, 84, 0, 0)",506,1,8,10,10,4,"(3, 3, 2, 3, 5, 5, 5)",1.3469,1.1606,False
701,FCvfw,7,13,"(1, 13, 70, 199, 313, 256, 84, 0, 0)",512,1,8,10,9,4,"(4, 3, 2, 3, 4, 4, 6)",1.3469,1.1606,False
