Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
255158,HCe[{~~,9,23,"(1, 23, 218, 1106, 3269, 5747, 5872, 3204, 720)",16807,3,35,35,21,7,"(6, 1, 1, 6, 6, 6, 6, 6, 8)",5.2099,2.2825,False
255165,HCe[}}~,9,23,"(1, 23, 218, 1106, 3269, 5747, 5872, 3204, 720)",16807,3,35,35,21,7,"(6, 1, 1, 6, 6, 6, 6, 7, 7)",4.9877,2.2333,False
271254,HQil\^n,9,23,"(1, 23, 218, 1106, 3269, 5747, 5872, 3204, 720)",16807,3,35,35,21,7,"(6, 2, 6, 1, 6, 6, 6, 6, 7)",3.8765,1.9689,False
145691,H?rM^^~,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27440,2,31,40,30,17,"(5, 5, 2, 1, 6, 6, 6, 7, 8)",4.5432,2.1315,False
145787,H?rN^^^,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27440,2,31,40,30,17,"(5, 5, 2, 1, 6, 6, 7, 7, 7)",4.321,2.0787,False
225840,HCrM]^~,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27783,2,31,39,31,17,"(6, 5, 1, 2, 6, 6, 6, 6, 8)",4.321,2.0787,False
225883,HCrM^^n,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27440,2,31,40,30,17,"(6, 5, 2, 1, 6, 6, 6, 7, 7)",4.0988,2.0245,False
225886,HCrM]~n,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27783,2,31,39,31,17,"(6, 5, 1, 2, 6, 6, 6, 7, 7)",4.0988,2.0245,False
247211,HCXjZ^~,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",36015,2,31,35,21,7,"(2, 5, 5, 2, 6, 6, 6, 6, 8)",3.4321,1.8526,False
247228,HCXj^^n,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27440,2,31,40,30,17,"(3, 5, 5, 1, 6, 6, 6, 7, 7)",3.4321,1.8526,False
255162,HCe[~z^,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27783,2,31,39,31,17,"(6, 2, 1, 6, 6, 6, 5, 7, 7)",4.0988,2.0245,False
255229,HCe]|z^,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27783,2,31,39,31,17,"(6, 2, 1, 6, 6, 6, 6, 6, 7)",3.8765,1.9689,False
271249,HQil^Zn,9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",27783,2,31,39,31,17,"(6, 3, 6, 1, 6, 6, 5, 6, 7)",3.2099,1.7916,False
271253,HQil\^},9,23,"(1, 23, 222, 1170, 3669, 6987, 7868, 4780, 1200)",36015,2,31,35,21,7,"(6, 2, 6, 2, 6, 6, 6, 5, 7)",2.9877,1.7285,False
255164,HCe[}~},9,23,"(1, 23, 223, 1186, 3769, 7297, 8367, 5174, 1320)",28812,2,30,40,31,17,"(6, 2, 1, 6, 6, 6, 6, 6, 7)",3.8765,1.9689,False
255221,HCe]}y~,9,23,"(1, 23, 223, 1186, 3769, 7297, 8367, 5174, 1320)",28812,2,30,40,31,17,"(6, 2, 1, 6, 6, 6, 6, 6, 7)",3.8765,1.9689,False
271327,HQin^Yn,9,23,"(1, 23, 223, 1186, 3769, 7297, 8367, 5174, 1320)",28812,2,30,40,31,17,"(6, 3, 6, 1, 6, 6, 6, 6, 6)",2.9877,1.7285,False
247229,HCXj^\~,9,23,"(1, 23, 223, 1190, 3829, 7637, 9267, 6270, 1800)",39445,1,30,36,26,16,"(2, 5, 5, 2, 6, 6, 6, 7, 7)",3.2099,1.7916,False
271250,HQil^Y~,9,23,"(1, 23, 223, 1190, 3829, 7637, 9267, 6270, 1800)",39788,1,30,36,25,17,"(6, 2, 6, 2, 6, 6, 5, 6, 7)",2.9877,1.7285,False
271337,HQin\yn,9,23,"(1, 23, 223, 1191, 3844, 7722, 9492, 6544, 1920)",40817,1,30,35,26,17,"(6, 2, 6, 2, 6, 6, 6, 6, 6)",2.7654,1.6629,False
108229,H?bN^^~,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32256,2,29,44,37,22,"(5, 4, 3, 1, 5, 6, 7, 7, 8)",4.321,2.0787,False
109264,H?bn^^^,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32256,2,29,44,37,22,"(5, 4, 3, 1, 5, 7, 7, 7, 7)",4.0988,2.0245,False
145877,H?rL~^n,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32816,2,29,42,40,25,"(5, 4, 3, 1, 6, 6, 7, 7, 7)",3.8765,1.9689,False
150699,H?qm^^~,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32816,2,29,42,40,25,"(5, 4, 3, 1, 6, 6, 6, 7, 8)",4.0988,2.0245,False
151250,H?qm~^n,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32816,2,29,42,40,25,"(5, 4, 3, 1, 6, 6, 7, 7, 7)",3.8765,1.9689,False
151257,H?qm}~^,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32256,2,29,44,37,22,"(5, 4, 1, 3, 6, 6, 7, 7, 7)",3.8765,1.9689,False
185280,HCQU}~~,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",34560,2,29,38,40,25,"(5, 4, 1, 5, 4, 5, 7, 7, 8)",3.8765,1.9689,False
196090,HCRUm~~,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33600,2,29,40,41,25,"(5, 5, 1, 5, 3, 6, 6, 7, 8)",3.8765,1.9689,False
196744,HCRVnnv,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32256,2,29,44,37,22,"(5, 5, 3, 5, 1, 6, 7, 7, 7)",3.6543,1.9116,False
196994,HCRU}~v,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33600,2,29,40,41,25,"(5, 5, 1, 5, 3, 6, 7, 7, 7)",3.6543,1.9116,False
204118,HCQvnnv,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32256,2,29,44,37,22,"(5, 4, 4, 5, 1, 6, 7, 7, 7)",3.4321,1.8526,False
204301,HCQu}~^,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",34560,2,29,38,40,25,"(5, 4, 1, 5, 4, 6, 7, 7, 7)",3.4321,1.8526,False
225887,HCrM]}~,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33271,2,29,41,39,25,"(6, 4, 1, 3, 6, 6, 6, 7, 7)",3.6543,1.9116,False
225968,HCrL^^n,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32816,2,29,42,40,25,"(6, 4, 3, 1, 6, 6, 6, 7, 7)",3.6543,1.9116,False
225995,HCrK}^~,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33271,2,29,41,39,25,"(6, 4, 1, 3, 6, 6, 6, 6, 8)",3.8765,1.9689,False
226006,HCrK~^^,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33271,2,29,41,39,25,"(6, 4, 1, 3, 6, 6, 6, 7, 7)",3.6543,1.9116,False
237234,HCZUm~^,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33600,2,29,40,41,25,"(5, 5, 1, 5, 4, 6, 6, 7, 7)",2.9877,1.7285,False
243148,HCZM^^n,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32816,2,29,42,40,25,"(5, 5, 3, 1, 6, 6, 6, 7, 7)",3.4321,1.8526,False
243153,HCZM]~^,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33600,2,29,40,41,25,"(5, 5, 1, 3, 6, 6, 6, 7, 7)",3.4321,1.8526,False
247106,HCXm^^n,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",32816,2,29,42,40,25,"(4, 5, 4, 1, 6, 6, 6, 7, 7)",3.2099,1.7916,False
249584,HCY[}~^,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33600,2,29,40,41,25,"(5, 3, 1, 5, 6, 6, 6, 7, 7)",3.4321,1.8526,False
255145,HCde}~^,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",34560,2,29,38,40,25,"(5, 4, 1, 5, 5, 5, 7, 7, 7)",3.2099,1.7916,False
269404,HQjfNNn,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33271,2,29,41,39,25,"(6, 5, 6, 1, 3, 6, 6, 6, 7)",3.2099,1.7916,False
271206,HQinVVn,9,23,"(1, 23, 224, 1202, 3869, 7607, 8866, 5568, 1440)",33271,2,29,41,39,25,"(6, 4, 6, 1, 6, 4, 6, 6, 7)",2.9877,1.7285,False
111369,H?rF^^~,9,23,"(1, 23, 225, 1216, 3947, 7827, 9195, 5814, 1512)",33600,2,28,48,37,25,"(5, 5, 3, 1, 5, 5, 7, 7, 8)",4.0988,2.0245,False
136995,H?rf^^^,9,23,"(1, 23, 225, 1216, 3947, 7827, 9195, 5814, 1512)",34160,2,28,46,40,25,"(5, 5, 3, 1, 5, 6, 7, 7, 7)",3.6543,1.9116,False
