Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
10052,GCf]~{,8,19,"(1, 19, 148, 610, 1429, 1891, 1302, 360, 0)",5292,2,23,25,18,7,"(5, 3, 1, 5, 5, 6, 6, 7)",3.1875,1.7854,False
10570,GCv]|{,8,19,"(1, 19, 148, 610, 1429, 1891, 1302, 360, 0)",5292,2,23,25,18,7,"(5, 3, 1, 5, 6, 6, 6, 6)",2.9375,1.7139,False
11803,GQjn^[,8,19,"(1, 19, 148, 610, 1429, 1891, 1302, 360, 0)",5292,2,23,25,18,7,"(5, 4, 5, 1, 5, 6, 6, 6)",2.4375,1.5612,False
5531,G?zn^{,8,19,"(1, 19, 149, 621, 1474, 1976, 1376, 384, 0)",5488,2,22,31,15,7,"(4, 4, 4, 1, 6, 6, 6, 7)",3.1875,1.7854,False
8454,GCr]~{,8,19,"(1, 19, 149, 621, 1474, 1976, 1376, 384, 0)",5635,2,22,28,21,7,"(5, 4, 1, 4, 5, 6, 6, 7)",2.9375,1.7139,False
10247,GCzn^[,8,19,"(1, 19, 149, 621, 1474, 1976, 1376, 384, 0)",5488,2,22,31,15,7,"(5, 4, 4, 1, 6, 6, 6, 6)",2.6875,1.6394,False
10295,GCz]}{,8,19,"(1, 19, 149, 621, 1474, 1976, 1376, 384, 0)",5635,2,22,28,21,7,"(5, 4, 1, 4, 6, 6, 6, 6)",2.6875,1.6394,False
11163,GEj]}{,8,19,"(1, 19, 149, 621, 1474, 1976, 1376, 384, 0)",5635,2,22,28,21,7,"(5, 4, 1, 5, 5, 6, 6, 6)",2.4375,1.5612,False
9979,GCe^~{,8,19,"(1, 19, 149, 625, 1514, 2116, 1576, 480, 0)",6912,1,22,24,18,9,"(5, 2, 2, 5, 5, 5, 7, 7)",3.1875,1.7854,False
10053,GCf\~{,8,19,"(1, 19, 149, 625, 1514, 2116, 1576, 480, 0)",7020,1,22,23,19,12,"(5, 2, 2, 5, 5, 6, 6, 7)",2.9375,1.7139,False
10572,GCv\|{,8,19,"(1, 19, 149, 625, 1514, 2116, 1576, 480, 0)",7056,1,22,23,18,10,"(5, 2, 2, 5, 6, 6, 6, 6)",2.6875,1.6394,False
11716,GQin^{,8,19,"(1, 19, 149, 625, 1514, 2116, 1576, 480, 0)",7776,1,22,20,16,11,"(5, 3, 5, 2, 5, 5, 6, 7)",2.1875,1.479,False
10493,GCvU~{,8,19,"(1, 19, 150, 632, 1519, 2061, 1450, 408, 0)",5880,2,21,31,21,7,"(5, 4, 1, 5, 5, 5, 6, 7)",2.6875,1.6394,False
10569,GCv]~w,8,19,"(1, 19, 150, 632, 1519, 2061, 1450, 408, 0)",5880,2,21,31,21,7,"(5, 4, 1, 5, 6, 6, 5, 6)",2.4375,1.5612,False
10640,GEru}{,8,19,"(1, 19, 150, 632, 1519, 2061, 1450, 408, 0)",5880,2,21,31,21,7,"(5, 5, 1, 5, 4, 6, 6, 6)",2.4375,1.5612,False
11278,GEzU}{,8,19,"(1, 19, 150, 632, 1519, 2061, 1450, 408, 0)",5880,2,21,31,21,7,"(5, 5, 1, 5, 5, 5, 6, 6)",2.1875,1.479,False
11804,GQjn\{,8,19,"(1, 19, 150, 640, 1599, 2341, 1850, 600, 0)",8316,1,21,21,19,14,"(5, 3, 5, 2, 5, 6, 6, 6)",1.9375,1.3919,False
10662,GEr]v{,8,19,"(1, 19, 151, 642, 1557, 2129, 1507, 426, 0)",6125,2,20,35,21,7,"(5, 5, 1, 5, 5, 5, 5, 7)",2.4375,1.5612,False
10668,GEr]~w,8,19,"(1, 19, 151, 642, 1557, 2129, 1507, 426, 0)",6125,2,20,35,21,7,"(5, 5, 1, 5, 5, 6, 5, 6)",2.1875,1.479,False
5234,G?rn~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8064,1,20,30,21,14,"(4, 4, 3, 2, 5, 6, 7, 7)",2.9375,1.7139,False
5535,G?zm~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8176,1,20,29,22,16,"(4, 4, 3, 2, 6, 6, 6, 7)",2.6875,1.6394,False
7231,GCR^~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8400,1,20,27,24,13,"(4, 4, 2, 4, 4, 6, 7, 7)",2.6875,1.6394,False
8212,GCrN~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8256,1,20,28,24,13,"(5, 4, 2, 3, 5, 5, 7, 7)",2.6875,1.6394,False
8431,GCrn^{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8323,1,20,28,23,14,"(5, 4, 3, 2, 5, 6, 6, 7)",2.4375,1.5612,False
8434,GCrm~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8371,1,20,27,25,15,"(5, 4, 2, 3, 5, 6, 6, 7)",2.4375,1.5612,False
9461,GCXn~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",9216,1,20,24,20,14,"(3, 4, 4, 3, 5, 5, 7, 7)",2.1875,1.479,False
9712,GCZn^{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8568,1,20,27,22,14,"(4, 4, 4, 2, 5, 6, 6, 7)",2.1875,1.479,False
9784,GCZ]~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8680,1,20,25,25,16,"(4, 4, 2, 4, 5, 6, 6, 7)",2.1875,1.479,False
10016,GCfu~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8364,1,20,27,25,14,"(5, 3, 2, 5, 4, 6, 6, 7)",2.4375,1.5612,False
10248,GCzn]{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8379,1,20,28,21,14,"(5, 4, 3, 2, 6, 6, 6, 6)",2.1875,1.479,False
10253,GCzm}{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8428,1,20,27,23,14,"(5, 4, 2, 3, 6, 6, 6, 6)",2.1875,1.479,False
10296,GCz]|{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8491,1,20,26,26,16,"(5, 3, 2, 4, 6, 6, 6, 6)",2.1875,1.479,False
10523,GCuu~{,8,19,"(1, 19, 151, 649, 1624, 2356, 1824, 576, 0)",8532,1,20,26,25,16,"(5, 3, 2, 5, 5, 5, 6, 7)",2.1875,1.479,False
