Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
10571,GCv]~{,8,20,"(1, 20, 164, 710, 1739, 2390, 1696, 480, 0)",8232,2,26,31,21,7,"(5, 4, 1, 5, 6, 6, 6, 7)",3.0,1.7321,False
11344,GEv]|{,8,20,"(1, 20, 164, 710, 1739, 2390, 1696, 480, 0)",8232,2,26,31,21,7,"(5, 4, 1, 6, 6, 6, 6, 6)",2.75,1.6583,False
11906,GQzn^[,8,20,"(1, 20, 164, 710, 1739, 2390, 1696, 480, 0)",8232,2,26,31,21,7,"(5, 5, 5, 1, 6, 6, 6, 6)",2.5,1.5811,False
10669,GEr]~{,8,20,"(1, 20, 165, 721, 1784, 2475, 1770, 504, 0)",8575,2,25,35,21,7,"(5, 5, 1, 5, 5, 6, 6, 7)",2.75,1.6583,False
11343,GEv]~w,8,20,"(1, 20, 165, 721, 1784, 2475, 1770, 504, 0)",8575,2,25,35,21,7,"(5, 5, 1, 6, 6, 6, 5, 6)",2.5,1.5811,False
10054,GCf^~{,8,20,"(1, 20, 166, 740, 1909, 2840, 2244, 720, 0)",12096,1,24,30,25,14,"(5, 3, 2, 5, 5, 6, 7, 7)",2.75,1.6583,False
10573,GCv\~{,8,20,"(1, 20, 166, 740, 1909, 2840, 2244, 720, 0)",12264,1,24,29,26,16,"(5, 3, 2, 5, 6, 6, 6, 7)",2.5,1.5811,False
11348,GEv\|{,8,20,"(1, 20, 166, 740, 1909, 2840, 2244, 720, 0)",12348,1,24,29,24,14,"(5, 3, 2, 6, 6, 6, 6, 6)",2.25,1.5,False
11718,GQin~{,8,20,"(1, 20, 166, 740, 1909, 2840, 2244, 720, 0)",13824,1,24,24,22,15,"(5, 3, 5, 3, 5, 5, 7, 7)",2.0,1.4142,False
11805,GQjn^{,8,20,"(1, 20, 166, 740, 1909, 2840, 2244, 720, 0)",12852,1,24,27,25,16,"(5, 4, 5, 2, 5, 6, 6, 7)",2.0,1.4142,False
5536,G?zn~{,8,20,"(1, 20, 167, 752, 1964, 2960, 2368, 768, 0)",12544,1,23,36,22,16,"(4, 4, 4, 2, 6, 6, 7, 7)",2.75,1.6583,False
8455,GCr^~{,8,20,"(1, 20, 167, 752, 1964, 2960, 2368, 768, 0)",12880,1,23,33,28,15,"(5, 4, 2, 4, 5, 6, 7, 7)",2.5,1.5811,False
10250,GCzn^{,8,20,"(1, 20, 167, 752, 1964, 2960, 2368, 768, 0)",12936,1,23,34,24,14,"(5, 4, 4, 2, 6, 6, 6, 7)",2.25,1.5,False
10297,GCz]~{,8,20,"(1, 20, 167, 752, 1964, 2960, 2368, 768, 0)",13048,1,23,32,29,16,"(5, 4, 2, 4, 6, 6, 6, 7)",2.25,1.5,False
11165,GEj]~{,8,20,"(1, 20, 167, 752, 1964, 2960, 2368, 768, 0)",13293,1,23,31,29,17,"(5, 4, 2, 5, 5, 6, 6, 7)",2.0,1.4142,False
11442,GEl}}{,8,20,"(1, 20, 167, 752, 1964, 2960, 2368, 768, 0)",13230,1,23,31,30,17,"(4, 4, 2, 6, 6, 6, 6, 6)",2.0,1.4142,False
11907,GQzn]{,8,20,"(1, 20, 167, 752, 1964, 2960, 2368, 768, 0)",13377,1,23,31,27,17,"(5, 5, 4, 2, 6, 6, 6, 6)",1.75,1.3229,False
11806,GQjl~{,8,20,"(1, 20, 167, 755, 1994, 3065, 2518, 840, 0)",14580,1,23,26,28,21,"(5, 3, 5, 3, 5, 6, 6, 7)",1.75,1.3229,False
11908,GQzn\{,8,20,"(1, 20, 167, 755, 1994, 3065, 2518, 840, 0)",13524,1,23,28,27,17,"(5, 4, 5, 2, 6, 6, 6, 6)",1.75,1.3229,False
10498,GCvV~{,8,20,"(1, 20, 168, 764, 2019, 3080, 2492, 816, 0)",13440,1,22,36,28,16,"(5, 4, 2, 5, 5, 5, 7, 7)",2.25,1.5,False
