Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
12088,GTm|~{,8,22,"(1, 22, 196, 910, 2359, 3388, 2484, 720, 0)",16807,2,35,35,21,7,"(6, 1, 6, 6, 6, 6, 6, 7)",3.0,1.7321,False
11350,GEv^~{,8,22,"(1, 22, 200, 970, 2699, 4288, 3580, 1200, 0)",27440,1,31,40,30,17,"(5, 5, 2, 6, 6, 6, 7, 7)",2.25,1.5,False
12086,GTm~v{,8,22,"(1, 22, 200, 970, 2699, 4288, 3580, 1200, 0)",27783,1,31,39,31,17,"(6, 2, 6, 6, 6, 5, 6, 7)",2.0,1.4142,False
12094,G]zn^[,8,22,"(1, 22, 201, 985, 2784, 4513, 3854, 1320, 0)",28812,1,30,40,31,17,"(6, 6, 6, 2, 6, 6, 6, 6)",1.75,1.3229,False
10593,GCv~~{,8,22,"(1, 22, 202, 1000, 2869, 4738, 4128, 1440, 0)",32256,1,29,44,37,22,"(5, 4, 3, 5, 6, 7, 7, 7)",2.0,1.4142,False
11361,GEu~~{,8,22,"(1, 22, 202, 1000, 2869, 4738, 4128, 1440, 0)",32816,1,29,42,40,25,"(5, 4, 3, 6, 6, 6, 7, 7)",1.75,1.3229,False
11812,GQj~~{,8,22,"(1, 22, 202, 1000, 2869, 4738, 4128, 1440, 0)",34560,1,29,38,40,25,"(5, 4, 5, 4, 5, 7, 7, 7)",1.5,1.2247,False
11918,GQzn~{,8,22,"(1, 22, 202, 1000, 2869, 4738, 4128, 1440, 0)",33600,1,29,40,41,25,"(5, 5, 5, 3, 6, 6, 7, 7)",1.5,1.2247,False
12082,GTnvn{,8,22,"(1, 22, 202, 1000, 2869, 4738, 4128, 1440, 0)",33271,1,29,41,39,25,"(6, 3, 6, 6, 4, 6, 6, 7)",1.5,1.2247,False
10675,GEr~~{,8,22,"(1, 22, 203, 1013, 2934, 4893, 4302, 1512, 0)",33600,1,28,48,37,25,"(5, 5, 3, 5, 5, 7, 7, 7)",1.75,1.3229,False
11339,GEvv~{,8,22,"(1, 22, 203, 1013, 2934, 4893, 4302, 1512, 0)",34160,1,28,46,40,25,"(5, 5, 3, 6, 5, 6, 7, 7)",1.5,1.2247,False
12049,GUz]~{,8,22,"(1, 22, 203, 1013, 2934, 4893, 4302, 1512, 0)",34727,1,28,44,43,25,"(6, 5, 3, 5, 6, 6, 6, 7)",1.25,1.118,False
