Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
2687,G?aM^{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 2, 1, 1, 4, 4, 5, 7)",3.75,1.9365,False
2698,G?aN]{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 2, 1, 1, 4, 4, 6, 6)",3.5,1.8708,False
3335,G?bM\{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 2, 1, 1, 4, 5, 5, 6)",3.25,1.8028,False
3342,G?bL]{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 2, 1, 1, 4, 5, 5, 6)",3.25,1.8028,False
4956,G?qm[{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 2, 1, 1, 5, 5, 5, 5)",3.0,1.7321,False
6244,GCQSn{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",375,3,11,5,1,0,"(4, 2, 1, 4, 2, 4, 4, 7)",3.0,1.7321,False
6298,GCQUnk,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 3, 1, 4, 1, 4, 5, 6)",2.75,1.6583,False
6310,GCQTnk,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 2, 2, 4, 1, 4, 5, 6)",2.5,1.5811,False
6311,GCQTm{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",375,3,11,5,1,0,"(4, 2, 1, 4, 2, 4, 5, 6)",2.5,1.5811,False
7050,GCQumk,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 3, 1, 4, 1, 5, 5, 5)",2.5,1.5811,False
7063,GCQtmk,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 2, 2, 4, 1, 5, 5, 5)",2.25,1.5,False
9847,GCdcu{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",375,3,11,5,1,0,"(4, 2, 1, 4, 4, 3, 4, 6)",2.0,1.4142,False
9887,GCdeus,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 3, 1, 4, 4, 2, 5, 5)",1.75,1.3229,False
9938,GCdc{{,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",300,3,11,8,4,1,"(4, 1, 1, 4, 4, 4, 5, 5)",2.25,1.5,False
11489,GQhTVS,8,14,"(1, 14, 80, 242, 419, 416, 220, 48, 0)",375,3,11,5,1,0,"(4, 3, 4, 2, 4, 2, 4, 5)",1.0,1.0,False
1452,G?BfN{,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",324,3,10,12,3,1,"(3, 3, 3, 1, 1, 5, 5, 7)",3.75,1.9365,False
1480,G?Bfn[,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",324,3,10,12,3,1,"(3, 3, 3, 1, 1, 5, 6, 6)",3.5,1.8708,False
2053,G?bE^{,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",336,3,10,10,6,1,"(4, 3, 1, 1, 3, 4, 5, 7)",3.5,1.8708,False
2076,G?bF]{,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",336,3,10,10,6,1,"(4, 3, 1, 1, 3, 4, 6, 6)",3.25,1.8028,False
2891,G?bfNk,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",324,3,10,12,3,1,"(4, 3, 3, 1, 1, 5, 5, 6)",3.0,1.7321,False
2923,G?be]{,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",336,3,10,10,6,1,"(4, 3, 1, 1, 3, 5, 5, 6)",3.0,1.7321,False
3148,G?`rnk,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",324,3,10,12,3,1,"(2, 3, 3, 3, 1, 5, 5, 6)",2.5,1.5811,False
3334,G?bM^k,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",336,3,10,10,6,1,"(4, 3, 1, 1, 3, 5, 5, 6)",3.0,1.7321,False
3860,G?qe]{,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",336,3,10,10,6,1,"(4, 3, 1, 1, 4, 4, 5, 6)",2.75,1.6583,False
4607,G?qtlk,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",324,3,10,12,3,1,"(4, 1, 3, 3, 2, 5, 5, 5)",2.0,1.4142,False
4636,G?qu][,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",336,3,10,10,6,1,"(4, 3, 1, 1, 4, 5, 5, 5)",2.5,1.5811,False
4953,G?qm]s,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",336,3,10,10,6,1,"(4, 3, 1, 1, 5, 4, 5, 5)",2.5,1.5811,False
5096,G?o}][,8,14,"(1, 14, 81, 250, 443, 450, 243, 54, 0)",324,3,10,12,3,1,"(3, 3, 1, 1, 5, 5, 5, 5)",2.75,1.6583,False
