Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
4748,G?rM^{,8,16,"(1, 16, 104, 354, 679, 734, 416, 96, 0)",864,3,16,15,6,1,"(4, 4, 1, 1, 5, 5, 5, 7)",3.75,1.9365,False
4756,G?rN]{,8,16,"(1, 16, 104, 354, 679, 734, 416, 96, 0)",864,3,16,15,6,1,"(4, 4, 1, 1, 5, 5, 6, 6)",3.5,1.8708,False
8144,GCrM^[,8,16,"(1, 16, 104, 354, 679, 734, 416, 96, 0)",864,3,16,15,6,1,"(5, 4, 1, 1, 5, 5, 5, 6)",3.25,1.8028,False
9430,GCXj^[,8,16,"(1, 16, 104, 354, 679, 734, 416, 96, 0)",864,3,16,15,6,1,"(2, 4, 4, 1, 5, 5, 5, 6)",2.5,1.5811,False
9968,GCe[~w,8,16,"(1, 16, 104, 354, 679, 734, 416, 96, 0)",864,3,16,15,6,1,"(5, 1, 1, 5, 5, 5, 4, 6)",3.25,1.8028,False
10041,GCf\s{,8,16,"(1, 16, 104, 354, 679, 734, 416, 96, 0)",864,3,16,15,6,1,"(5, 1, 1, 5, 5, 5, 5, 5)",3.0,1.7321,False
11704,GQil^W,8,16,"(1, 16, 104, 354, 679, 734, 416, 96, 0)",864,3,16,15,6,1,"(5, 2, 5, 1, 5, 5, 4, 5)",2.25,1.5,False
3363,G?bN^{,8,16,"(1, 16, 106, 376, 769, 904, 564, 144, 0)",1260,2,14,16,10,4,"(4, 3, 2, 1, 4, 5, 6, 7)",3.5,1.8708,False
3465,G?bn]{,8,16,"(1, 16, 106, 376, 769, 904, 564, 144, 0)",1260,2,14,16,10,4,"(4, 3, 2, 1, 4, 6, 6, 6)",3.25,1.8028,False
4760,G?rL~[,8,16,"(1, 16, 106, 376, 769, 904, 564, 144, 0)",1284,2,14,15,11,5,"(4, 3, 2, 1, 5, 5, 6, 6)",3.0,1.7321,False
4963,G?qm^{,8,16,"(1, 16, 106, 376, 769, 904, 564, 144, 0)",1284,2,14,15,11,5,"(4, 3, 2, 1, 5, 5, 5, 7)",3.25,1.8028,False
4991,G?qm~[,8,16,"(1, 16, 106, 376, 769, 904, 564, 144, 0)",1284,2,14,15,11,5,"(4, 3, 2, 1, 5, 5, 6, 6)",3.0,1.7321,False
