Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
9969,GCe[~{,8,17,"(1, 17, 116, 410, 809, 893, 514, 120, 0)",1296,3,20,15,6,1,"(5, 1, 1, 5, 5, 5, 5, 7)",3.9375,1.9843,False
9976,GCe]|{,8,17,"(1, 17, 116, 410, 809, 893, 514, 120, 0)",1296,3,20,15,6,1,"(5, 1, 1, 5, 5, 5, 6, 6)",3.6875,1.9203,False
11706,GQil^[,8,17,"(1, 17, 116, 410, 809, 893, 514, 120, 0)",1296,3,20,15,6,1,"(5, 2, 5, 1, 5, 5, 5, 6)",2.6875,1.6394,False
4757,G?rN^{,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2016,2,17,19,11,5,"(4, 4, 2, 1, 5, 5, 6, 7)",3.4375,1.854,False
5230,G?rn]{,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2016,2,17,19,11,5,"(4, 4, 2, 1, 5, 6, 6, 6)",3.1875,1.7854,False
8147,GCrM^{,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2052,2,17,18,12,5,"(5, 4, 1, 2, 5, 5, 5, 7)",3.1875,1.7854,False
8195,GCrN^[,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2016,2,17,19,11,5,"(5, 4, 2, 1, 5, 5, 6, 6)",2.9375,1.7139,False
8198,GCrM~[,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2052,2,17,18,12,5,"(5, 4, 1, 2, 5, 5, 6, 6)",2.9375,1.7139,False
9432,GCXj^{,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2592,2,17,15,6,1,"(2, 4, 4, 2, 5, 5, 5, 7)",2.4375,1.5612,False
9451,GCXn^[,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2016,2,17,19,11,5,"(3, 4, 4, 1, 5, 5, 6, 6)",2.4375,1.5612,False
9973,GCe^u{,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2052,2,17,18,12,5,"(5, 2, 1, 5, 5, 4, 6, 6)",2.9375,1.7139,False
10044,GCf\u{,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2052,2,17,18,12,5,"(5, 2, 1, 5, 5, 5, 5, 6)",2.6875,1.6394,False
11701,GQinV[,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2052,2,17,18,12,5,"(5, 3, 5, 1, 5, 4, 5, 6)",2.1875,1.479,False
11705,GQil^w,8,17,"(1, 17, 119, 443, 944, 1148, 736, 192, 0)",2592,2,17,15,6,1,"(5, 2, 5, 2, 5, 5, 4, 6)",1.9375,1.3919,False
3466,G?bn^{,8,17,"(1, 17, 120, 454, 989, 1233, 810, 216, 0)",2205,2,16,22,12,4,"(4, 3, 3, 1, 4, 6, 6, 7)",3.4375,1.854,False
4987,G?qn^{,8,17,"(1, 17, 120, 454, 989, 1233, 810, 216, 0)",2261,2,16,20,15,7,"(4, 3, 3, 1, 5, 5, 6, 7)",3.1875,1.7854,False
5297,G?q~^[,8,17,"(1, 17, 120, 454, 989, 1233, 810, 216, 0)",2261,2,16,20,15,7,"(4, 3, 3, 1, 5, 6, 6, 6)",2.9375,1.7139,False
5303,G?q||{,8,17,"(1, 17, 120, 454, 989, 1233, 810, 216, 0)",2205,2,16,22,12,4,"(4, 1, 3, 3, 5, 6, 6, 6)",2.9375,1.7139,False
6815,GCRU~{,8,17,"(1, 17, 120, 454, 989, 1233, 810, 216, 0)",2345,2,16,18,16,7,"(4, 4, 1, 4, 3, 5, 6, 7)",2.9375,1.7139,False
7201,GCRvnk,8,17,"(1, 17, 120, 454, 989, 1233, 810, 216, 0)",2205,2,16,22,12,4,"(4, 4, 3, 4, 1, 6, 6, 6)",2.6875,1.6394,False
7211,GCRu}{,8,17,"(1, 17, 120, 454, 989, 1233, 810, 216, 0)",2345,2,16,18,16,7,"(4, 4, 1, 4, 3, 6, 6, 6)",2.6875,1.6394,False
